AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
13250,ORG-BSA1-RIPE,Backbone Solutions AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
15398,ORG-WA182-RIPE,Werft22 AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
15398,ORG-WA182-RIPE,Werft22 AG,59891,ORG-FA509-RIPE,FSIT AG,36.6,3.37e-09
15398,ORG-WA182-RIPE,Werft22 AG,202032,ORG-GS131-RIPE,GOLINE SA,36.6,3.37e-09
15623,ORG-CISA1-RIPE,Cyberlink AG,13150,ORG-CNL17-RIPE,CATO NETWORKS LTD,36.6,3.37e-09
15623,ORG-CISA1-RIPE,Cyberlink AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
15623,ORG-CISA1-RIPE,Cyberlink AG,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
15623,ORG-CISA1-RIPE,Cyberlink AG,204178,ORG-WNSA2-RIPE,Winet Voicetec Solutions AG,36.6,3.37e-09
15830,ORG-TP3-RIPE,Equinix (EMEA) Acquisition Enterprises B.V.,58280,ORG-MAS22-RIPE,Massimiliano Andrea Stucchi,36.6,3.37e-09
15830,ORG-TP3-RIPE,Equinix (EMEA) Acquisition Enterprises B.V.,199554,ORG-UBTA1-RIPE,"U. Bachofen trading as ""bachofen.net""",36.6,3.37e-09
15830,ORG-TP3-RIPE,Equinix (EMEA) Acquisition Enterprises B.V.,208731,ORG-RA1061-RIPE,RULEMATCH AG,36.6,3.37e-09
20932,ORG-TS3-RIPE,Services Industriels de Geneve,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
20932,ORG-TS3-RIPE,Services Industriels de Geneve,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
21232,ORG-GM1-RIPE,Genossenschaft GGA Maur,13150,ORG-CNL17-RIPE,CATO NETWORKS LTD,36.6,3.37e-09
21232,ORG-GM1-RIPE,Genossenschaft GGA Maur,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
21232,ORG-GM1-RIPE,Genossenschaft GGA Maur,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
24585,ORG-SR1-RIPE,Swiss Life AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
29222,ORG-INS5-RIPE,Infomaniak Network SA,12347,ORG-VSA15-RIPE,Virtualtec Solutions AG,36.6,3.37e-09
29222,ORG-INS5-RIPE,Infomaniak Network SA,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
29222,ORG-INS5-RIPE,Infomaniak Network SA,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
29691,ORG-NISA1-RIPE,Nine Internet Solutions AG,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
29691,ORG-NISA1-RIPE,Nine Internet Solutions AG,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
30786,ORG-SDA47-RIPE,Swisscom Directories AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
31662,ORG-ACA1-RIPE,connecta ag,1836,ORG-GCA1-RIPE,green.ch AG,36.6,3.37e-09
31736,ORG-SG1-RIPE,senseLAN GmbH,59891,ORG-FA509-RIPE,FSIT AG,36.6,3.37e-09
33965,ORG-AEA1-RIPE,LITECOM AG,1836,ORG-GCA1-RIPE,green.ch AG,36.6,3.37e-09
34288,ORG-KZ1-RIPE,Kantonsschule Zug,20893,ORG-SA4-RIPE,SYSTEM-CLINCH,36.6,3.37e-09
34288,ORG-KZ1-RIPE,Kantonsschule Zug,39764,ORG-DSA8-RIPE,F24 Schweiz AG,36.6,3.37e-09
35223,ORG-NA28-RIPE,Hoi Internet AG,13237,ORG-GVNG1-RIPE,euNetworks GmbH,36.6,3.37e-09
