AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
15830,Equinix Equinix (EMEA) Acquisition Enterprises B.V.,208731,RULEMATCH RULEMATCH AG,36.6,1.51e-10
20932,SIG-ST Services Industriels de Geneve,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
20932,SIG-ST Services Industriels de Geneve,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
21232,GGAMAUR Genossenschaft GGA Maur,13150,CATON CATO NETWORKS LTD,36.6,1.51e-10
21232,GGAMAUR Genossenschaft GGA Maur,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
21232,GGAMAUR Genossenschaft GGA Maur,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
24585,CH-Swisslife Swiss Life AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
29222,Infomaniak-AS Infomaniak Network SA,12347,VIRTUALTEC Virtualtec Solutions AG,36.6,1.51e-10
29222,Infomaniak-AS Infomaniak Network SA,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
29222,Infomaniak-AS Infomaniak Network SA,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
29691,NINE Nine Internet Solutions AG,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
29691,NINE Nine Internet Solutions AG,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
30786,LOCAL-CH Swisscom Directories AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
31662,KNSurselva connecta ag,1836,GREEN green.ch AG,36.6,1.51e-10
31736,SENSELAN-AS senseLAN GmbH,59891,FSIT FSIT AG,36.6,1.51e-10
33965,LITECOM LITECOM AG,1836,GREEN green.ch AG,36.6,1.51e-10
34288,AS34288 Kantonsschule Zug,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
34288,AS34288 Kantonsschule Zug,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
35223,HOI-AS Hoi Internet AG,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
35360,GARGUNET Frederic Gargula,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
35360,GARGUNET Frederic Gargula,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
39351,ESAB-AS 31173 Services AB,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
41047,NL-MLAB Bart Vrancken trading as MLaB,47152,Fibersix Francesco Ascione trading as FIBERSIX,36.6,1.51e-10
41051,FREETRANSIT Openfactory GmbH,58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,36.6,1.51e-10
42357,progest ProGest SA,2613,VAN_GULIK Willem van Gulik,36.6,1.51e-10
50869,FREEIX-REMOTE IPng Networks GmbH,56883,AIRMASS1-AS Airmass 1 AB,36.6,1.51e-10
51786,VELDER-AS Patrick Velder,13150,CATON CATO NETWORKS LTD,36.6,1.51e-10
51786,VELDER-AS Patrick Velder,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
51786,VELDER-AS Patrick Velder,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
51873,AS-ARCADE Arcade Solutions AG,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
51873,AS-ARCADE Arcade Solutions AG,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
51873,AS-ARCADE Arcade Solutions AG,58280,STUCCHIMAX-AS Massimiliano Andrea Stucchi,36.6,1.51e-10
51907,CH-ZG Kanton Zug,13237,LAMBDANET-AS euNetworks GmbH,36.6,1.51e-10
56987,AS-ABACLOUDA ABACLOUDA SAS,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
56987,AS-ABACLOUDA ABACLOUDA SAS,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
57521,SIMPLYSOFT-AS Simplysoft GmbH,60326,MrSheepNET-AS MrSheepNET LTD,36.6,1.51e-10
57777,MASSAR Jeroen Massar,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
57777,MASSAR Jeroen Massar,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
58057,SECUREBIT Securebit AG,20893,SYSTEM-CLINCH-AS SYSTEM-CLINCH,36.6,1.51e-10
58057,SECUREBIT Securebit AG,39764,DOLPHIN F24 Schweiz AG,36.6,1.51e-10
