AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
209768,white2net white2net Srl,1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,1726.74,7.14e-09
23764,CTGNET CTGNet,20473,AS-VULTR,1726.84,7.14e-09
52025,PARADOXNETWORKS-LIMITED ParadoxNetworks Limited,37100,SEACOM-AS,1726.96,7.14e-09
48011,DigiTurunc Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limited Sirketi,3214,XTOM xTom GmbH,1727.04,7.14e-09
35598,INETCOM INETCOM CARRIER LLC,48558,M-Line-AS M-Line Ltd.,1727.08,7.14e-09
196610,DECIX-Academy DE-CIX Management GmbH,1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,1727.25,7.14e-09
4601,DNET Antonios A. Chariton,51184,FONIRA Fonira Telekom GmbH,1727.28,7.14e-09
48362,TKSWF-AS Stadtwerke Feldkirch,29606,Borwood-AS Borwood Ltd,1727.68,7.15e-09
48185,team_blue AMEN SAS,61323,UKFAST ANS ACADEMY LIMITED,1727.76,7.15e-09
21368,PHOENIX-IT Phoenix IT SRL,49544,i3Dnet i3D.net B.V,1728.24,7.15e-09
44629,POINTUA-AS PE Sinenko Vitaliy Mihailovich,49544,i3Dnet i3D.net B.V,1729.02,7.15e-09
47692,NESSUS Nessus GmbH,59655,EXINITY-AS Exinity works (CY) LTD,1729.26,7.15e-09
57118,COMMUNITYRACK CommunityRack.org Verein,1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,1729.28,7.15e-09
44141,DEVCLIC-AS DEVCLIC SARL,49544,i3Dnet i3D.net B.V,1729.42,7.15e-09
33891,CORE-BACKBONE Core-Backbone GmbH,34655,DOCLER-AS JWE S.a r.l.,1730.16,7.16e-09
50304,BLIX Blix Solutions AS,10310,YAHOO-1,1730.3,7.16e-09
199524,GCORE G-Core Labs S.A.,12958,MCC T2 Mobile LLC,1730.35,7.16e-09
199524,GCORE G-Core Labs S.A.,15378,TELE2-RU-AS T2 Mobile LLC,1730.35,7.16e-09
212483,level86 LEVEL EIGHTY-SIX COMMUNICATIONS LTD,200184,nl-surfboard Surfboard Holding BV,1730.94,7.16e-09
62902,AS-ASPHERE,38001,NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd,1731.0,7.16e-09
37100,SEACOM-AS,26667,RUBICONPROJECT,1731.42,7.16e-09
28606,FSOnline Internet,23106,AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT,1731.52,7.16e-09
41364,TOP-IX_DP CONSORZIO TOP IX - TORINO E PIEMONTE EXCHANGE POINT CC,37468,ANGOLA-CABLES,1731.6,7.16e-09
56987,AS-ABACLOUDA ABACLOUDA SAS,29169,GANDI-AS GANDI SAS,1731.6,7.16e-09
1764,NEXTLAYER-AS Next Layer Telekommunikationsdienstleistungs- und Beratungs GmbH,59655,EXINITY-AS Exinity works (CY) LTD,1732.14,7.16e-09
37054,Telecom-Malagasy,13237,LAMBDANET-AS euNetworks GmbH,1732.22,7.16e-09
34779,"T-2-AS T-2, d.o.o.",43061,SI-STELKOM Stelkom d.o.o.,1732.56,7.17e-09
209859,FESR-AS Florian Martin Esser,213151,CHRISELSEN Christian Elsen,1732.57,7.17e-09
35280,F5 F5 Networks SARL,19750,AS-CRITEO,1732.8,7.17e-09
20932,SIG-ST Services Industriels de Geneve,42841,ANTIK ANTIK Telecom s.r.o,1732.92,7.17e-09
23344,DSS-EDGE,20932,SIG-ST Services Industriels de Geneve,1732.92,7.17e-09
50263,IXP-1-IX-EU A-Systems Sp. z o.o.,34867,COSMONOVA-AS Cosmonova LLC,1733.1,7.17e-09
15378,TELE2-RU-AS T2 Mobile LLC,41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,1733.45,7.17e-09
4455,BSO IX Reach Ltd,50124,EASIO-COM EASIO-COM SASU,1733.48,7.17e-09
15606,NASK-DNS-ANYCAST NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,1733.64,7.17e-09
5405,INTERDOTLINK Inter.link GmbH,60350,VP VENTE-PRIVEE.COM SA,1733.67,7.17e-09
212483,level86 LEVEL EIGHTY-SIX COMMUNICATIONS LTD,202246,valoo Valoo Oy,1734.0,7.17e-09
22616,ZSCALER-SJC1,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1734.18,7.17e-09
42708,GLESYS GleSYS AB,42,WOODYNET-1,1735.0,7.18e-09
1828,UNITAS,25152,K-ROOT-SERVER Reseaux IP Europeens Network Coordination Centre (RIPE NCC),1735.02,7.18e-09
56911,ASN-WARIAN Warian S.R.L.,35625,EUROFIBER-FRANCE Eurofiber France SAS,1735.09,7.18e-09
12748,IAV IAV GmbH Ingenieurgesellschaft Auto und Verkehr,57695,"MISAKA Misaka Network, Inc.",1735.15,7.18e-09
199095,CITYMESH-AS Citymesh Integrator NV,199524,GCORE G-Core Labs S.A.,1735.63,7.18e-09
35360,GARGUNET Frederic Gargula,21409,IKOULA Ikoula Net SAS,1735.8,7.18e-09
35598,INETCOM INETCOM CARRIER LLC,25192,"CZNIC-AS CZ.NIC, z.s.p.o.",1735.9,7.18e-09
212483,level86 LEVEL EIGHTY-SIX COMMUNICATIONS LTD,199081,LANCOM Lancom Ltd.,1735.92,7.18e-09
42841,ANTIK ANTIK Telecom s.r.o,34288,AS34288 Kantonsschule Zug,1735.98,7.18e-09
51395,AS-SOFTPLUS Datasource AG,29075,IELO IELO-LIAZO SERVICES SAS,1736.1,7.18e-09
132847,NETSG-AS-AP Network Solutions Group Pty Ltd,151336,VERGE-AS-AP Verge Networks Limited,1736.2,7.18e-09
3327,CITIC CITIC Telecom CPC Netherlands B.V.,9009,M247 M247 Europe SRL,1736.34,7.18e-09
49088,TELMEKOM-AS TELMEKOM SRL,31510,IKB-AS Innsbrucker Kommunalbetriebe AG,1736.54,7.18e-09
197000,RIPE-NCC-AUTHDNS-AS Reseaux IP Europeens Network Coordination Centre (RIPE NCC),213241,TECHIT TECHIT.BE SRL,1736.63,7.18e-09
28917,"Fiord-AS Fiord Networks, UAB",49368,DOMOLAN-AS DomoLAN Ltd.,1736.76,7.18e-09
3303,SWISSCOM Swisscom (Schweiz) AG,8620,ALANATA Alanata a. s.,1736.82,7.18e-09
37721,Virtual-Technologies-Solutions-SA,44478,"EtalonOptic-net OOO ""Etalon-Optic""",1737.24,7.19e-09
25761,FIFTYFIVE-AS 55 IT Services GmbH,49544,i3Dnet i3D.net B.V,1737.26,7.19e-09
57483,ICHILTON Ian Chilton,39122,BLACKNIGHT-AS Blacknight Internet Solutions Limited,1737.52,7.19e-09
41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,41652,SAS-SHPV-FRANCE SHPV FRANCE SAS,1737.75,7.19e-09
2603,NORDUNET NORDUnet,35706,NAO Net at Once Sweden AB,1738.0,7.19e-09
210937,Showfom Xiufeng Guo,207439,KORVESNET Korves.Net USA LLC,1738.2,7.19e-09
39351,ESAB-AS 31173 Services AB,60550,DeepL DeepL SE,1738.35,7.19e-09
2914,NTT-DATA-2914,1449,PAYPAL-CORP,1738.4,7.19e-09
200020,NBIP-AS Stichting NBIP-NaWas,13237,LAMBDANET-AS euNetworks GmbH,1738.45,7.19e-09
559,SWITCH SWITCH,61049,EXASCALE Exascale Limited,1738.56,7.19e-09
42632,MNOGOBYTE-AS MnogoByte LLC,43727,KVANT-TELECOM JSC KVANT-TELEKOM,1738.6,7.19e-09
46489,TWITCH,42541,FIBERBY Fiberby ApS,1738.66,7.19e-09
20900,AS-IMSNETORKS IMS Networks SAS,39351,ESAB-AS 31173 Services AB,1738.8,7.19e-09
1828,UNITAS,41041,VCLK-EU-SE Conversant LLC,1739.1,7.19e-09
6752,"ANDORRA ANDORRA TELECOM, S.A.U.",8426,CLARANET-AS Claranet Limited,1739.61,7.20e-09
15547,NETPLUS netplus.ch SA,57119,NAITWAYS-AS NAITWAYS SAS,1739.64,7.20e-09
2603,NORDUNET NORDUnet,34790,AS34790 TFM NETWORKS LIMITED,1739.76,7.20e-09
58057,SECUREBIT Securebit AG,21277,Newroz-Telecom-ASN Allay Nawroz Telecom Company for Communication/Ltd.,1741.15,7.20e-09
20485,TRANSTELECOM Joint Stock Company TransTeleCom,15606,NASK-DNS-ANYCAST NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,1741.2,7.20e-09
37721,Virtual-Technologies-Solutions-SA,12748,IAV IAV GmbH Ingenieurgesellschaft Auto und Verkehr,1741.55,7.20e-09
12748,IAV IAV GmbH Ingenieurgesellschaft Auto und Verkehr,210937,Showfom Xiufeng Guo,1741.6,7.20e-09
33921,Lebara-AS Lebara Ltd,37468,ANGOLA-CABLES,1741.67,7.20e-09
41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,39046,THEOREMA Theorema Telecom Limited,1741.76,7.20e-09
1828,UNITAS,210036,RAYHAANNET Rayhaan Ahmad Jaufeerally,1742.0,7.21e-09
2854,ROSPRINT-AS LLC Orange Business Services,7713,TELKOMNET-AS-AP PT Telekomunikasi Indonesia,1742.16,7.21e-09
42295,TBISS-AS TBISS Ltd.,58299,OPENFACTORY-AS Openfactory GmbH,1742.34,7.21e-09
206499,MMNETWORKS Marek Ziolkowski,207439,KORVESNET Korves.Net USA LLC,1742.6,7.21e-09
12552,IPO-EU GlobalConnect AB,50837,CLOUDSIGMA-AS CLOUDSIGMA AG,1742.88,7.21e-09
48362,TKSWF-AS Stadtwerke Feldkirch,24889,MONZOON-AS Monzoon Networks AG,1742.94,7.21e-09
4657,STARHUB-INTERNET StarHub Ltd,3223,VOXILITY Voxility LLP,1742.96,7.21e-09
213035,AS-SERVERION Des Capital B.V.,202365,Chronos Omer GOLGELI,1743.0,7.21e-09
15510,CWCS-PS Compuweb Communications Services Limited,50304,BLIX Blix Solutions AS,1743.12,7.21e-09
43727,KVANT-TELECOM JSC KVANT-TELEKOM,62205,"UNITEL Unitel, LLC",1743.32,7.21e-09
55256,NETSKOPE,50877,AIRBEAM-AS Airbeam S.r.l.,1743.36,7.21e-09
39351,ESAB-AS 31173 Services AB,59574,AS-STUPINO-NET Limited Liability Company SKS Telecom,1743.72,7.21e-09
13194,"BITE UAB ""Bite Lietuva""",59574,AS-STUPINO-NET Limited Liability Company SKS Telecom,1744.05,7.21e-09
47522,LLC_NETFORT-AS LLC NETFORT,25369,BANDWIDTH-AS Hydra Communications Ltd,1744.1,7.21e-09
57695,"MISAKA Misaka Network, Inc.",41114,ORNETHD ORNE THD SPL,1744.32,7.21e-09
1853,ACONET ACOnet Backbone,2635,AUTOMATTIC,1744.54,7.22e-09
12577,MMC-AT-AS MMC GmbH,34288,AS34288 Kantonsschule Zug,1744.54,7.22e-09
25467,AKTON-AS Akton d.o.o.,31510,IKB-AS Innsbrucker Kommunalbetriebe AG,1744.54,7.22e-09
25467,AKTON-AS Akton d.o.o.,34288,AS34288 Kantonsschule Zug,1744.54,7.22e-09
25467,AKTON-AS Akton d.o.o.,35369,LINZAG-TELEKOM-AS LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation,1744.54,7.22e-09
25467,AKTON-AS Akton d.o.o.,40994,Alwyzon Hohl IT e.U.,1744.54,7.22e-09
29208,"QUANTCOM-AS Quantcom, a.s.",1853,ACONET ACOnet Backbone,1744.54,7.22e-09
33891,CORE-BACKBONE Core-Backbone GmbH,1120,ACONET_SERVICES ACOnet Services @ Vienna Internet eXchange,1744.54,7.22e-09
35369,LINZAG-TELEKOM-AS LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation,39878,RAUTER-AS Peter Rauter GmbH,1744.54,7.22e-09
43957,ASN-WNTNEWMEDIA WNT Telecommunication GmbH,31510,IKB-AS Innsbrucker Kommunalbetriebe AG,1744.54,7.22e-09
43957,ASN-WNTNEWMEDIA WNT Telecommunication GmbH,34288,AS34288 Kantonsschule Zug,1744.54,7.22e-09
43957,ASN-WNTNEWMEDIA WNT Telecommunication GmbH,40994,Alwyzon Hohl IT e.U.,1744.54,7.22e-09
210937,Showfom Xiufeng Guo,208702,Ernst Joachim Ernst,1744.6,7.22e-09
42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,44444,Forcepoint-Cloud-AS Forcepoint Cloud Ltd,1744.8,7.22e-09
137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,133847,ICT-AS-AP Anpple Tech Enterprise,1745.07,7.22e-09
61215,IIJ-EXLAYER-AS IIJ Europe Limited,20764,RASCOM-AS CJSC RASCOM,1745.36,7.22e-09
23344,DSS-EDGE,37100,SEACOM-AS,1745.68,7.22e-09
12350,VTX-NETWORK VTX Services SA,29169,GANDI-AS GANDI SAS,1745.7,7.22e-09
16347,INHERENT ADISTA SAS,327814,Ecoband,1745.9,7.22e-09
30781,JAGUAR-AS Free Pro SAS,52025,PARADOXNETWORKS-LIMITED ParadoxNetworks Limited,1746.08,7.22e-09
51519,Karabro Karabro AB,35706,NAO Net at Once Sweden AB,1746.42,7.22e-09
22697,ROBLOX-PRODUCTION,31742,SOTACONNECT Sota Solutions Ltd.,1746.88,7.23e-09
13786,SEABORN,28158,Ampernet Telecomunicacoes Ltda,1746.9,7.23e-09
20764,RASCOM-AS CJSC RASCOM,34123,NETORN-AS Netorn LLC,1746.96,7.23e-09
42841,ANTIK ANTIK Telecom s.r.o,56987,AS-ABACLOUDA ABACLOUDA SAS,1746.96,7.23e-09
54415,WIZ-JP-AS-AP WIZ K.K.,18106,VIEWQWEST-SG-AP Viewqwest Pte Ltd,1747.0,7.23e-09
20932,SIG-ST Services Industriels de Geneve,15133,EDGECAST,1747.02,7.23e-09
44358,DOMREG-ANY-AS Kauno Technologijos Universitetas,49544,i3Dnet i3D.net B.V,1747.2,7.23e-09
32590,VALVE-CORPORATION,1267,ASN-WINDTRE WIND TRE S.P.A.,1747.26,7.23e-09
21277,Newroz-Telecom-ASN Allay Nawroz Telecom Company for Communication/Ltd.,18106,VIEWQWEST-SG-AP Viewqwest Pte Ltd,1747.4,7.23e-09
31742,SOTACONNECT Sota Solutions Ltd.,55256,NETSKOPE,1748.08,7.23e-09
1403,EBOX,6364,ATLANTIC-NET-1,1748.1,7.23e-09
1828,UNITAS,19465,AS-GOSFIELD,1748.1,7.23e-09
1828,UNITAS,26523,PNB-TRANSIT,1748.1,7.23e-09
1828,UNITAS,27299,CIRA-REGISTRY,1748.1,7.23e-09
1828,UNITAS,53525,VCOMP,1748.1,7.23e-09
8304,ECRITEL-FRANCE Ecritel SASU,1403,EBOX,1748.1,7.23e-09
15296,CYBERA,16569,DMZ,1748.1,7.23e-09
15296,CYBERA,395660,EDMONTON-,1748.1,7.23e-09
19122,ESTRUXTURE-ON-19122,35280,F5 F5 Networks SARL,1748.1,7.23e-09
19465,AS-GOSFIELD,394256,CLOUDSINGULARITY,1748.1,7.23e-09
22652,FIBRENOIRE-INTERNET,19465,AS-GOSFIELD,1748.1,7.23e-09
22652,FIBRENOIRE-INTERNET,26523,PNB-TRANSIT,1748.1,7.23e-09
22652,FIBRENOIRE-INTERNET,27299,CIRA-REGISTRY,1748.1,7.23e-09
22652,FIBRENOIRE-INTERNET,53525,VCOMP,1748.1,7.23e-09
26523,PNB-TRANSIT,394256,CLOUDSINGULARITY,1748.1,7.23e-09
26531,NEXUSDS,49544,i3Dnet i3D.net B.V,1748.1,7.23e-09
27299,CIRA-REGISTRY,35280,F5 F5 Networks SARL,1748.1,7.23e-09
27299,CIRA-REGISTRY,394256,CLOUDSINGULARITY,1748.1,7.23e-09
33361,THEWIRE,49544,i3Dnet i3D.net B.V,1748.1,7.23e-09
33541,CCROUTE,1403,EBOX,1748.1,7.23e-09
35280,F5 F5 Networks SARL,30176,AS-PRIORITYCOLO,1748.1,7.23e-09
35280,F5 F5 Networks SARL,398041,XCD-TELECOM,1748.1,7.23e-09
40867,NETFLASH,49544,i3Dnet i3D.net B.V,1748.1,7.23e-09
53356,FREE RANGE CLOUD,1403,EBOX,1748.1,7.23e-09
3170,VELOXSERV VeloxServ Communications Ltd,6507,RIOT-NA1,1748.18,7.23e-09
24482,SGGS-AS-AP SG.GS,60362,alwaysdata ALWAYSDATA SARL,1748.4,7.23e-09
206499,MMNETWORKS Marek Ziolkowski,208702,Ernst Joachim Ernst,1748.45,7.23e-09
396986,BYTEDANCE,29075,IELO IELO-LIAZO SERVICES SAS,1748.52,7.23e-09
62005,BV-EU-AS BlueVPS OU,12859,NL-BIT BIT BV,1748.6,7.23e-09
57468,AZA-TELECOM AZA TELECOM SARL,25091,IP-Max IP-Max SA,1749.0,7.23e-09
35598,INETCOM INETCOM CARRIER LLC,44484,XTRIM-AS X-Trim Ltd.,1749.2,7.24e-09
8359,MTS MTS PJSC,6774,ASN-BICS Belgacom International Carrier Services SA,1749.25,7.24e-09
62044,ZSCALER-EMEA Zscaler Switzerland GmbH,12637,SEEWEB SEEWEB s.r.l.,1749.52,7.24e-09
6421,AS6421,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",1749.78,7.24e-09
21245,Medianova-CDN MEDIANOVA INTERNET HIZMETLERI VE TICARET ANONIM SIRKETI,37468,ANGOLA-CABLES,1750.0,7.24e-09
210834,LU-CIX-IT LU-CIX Management G.I.E.,2027,MilkyWan MilkyWan Association,1750.06,7.24e-09
43142,AdeliNovius ADELI SAS,2027,MilkyWan MilkyWan Association,1750.4,7.24e-09
213151,CHRISELSEN Christian Elsen,208702,Ernst Joachim Ernst,1750.5,7.24e-09
35625,EUROFIBER-FRANCE Eurofiber France SAS,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1750.58,7.24e-09
49605,DTS-AS Digital Telecommunication Services S.r.l.,25192,"CZNIC-AS CZ.NIC, z.s.p.o.",1751.22,7.24e-09
51519,Karabro Karabro AB,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1751.58,7.24e-09
51185,MAINSTREAMING-AS MainStreaming SpA,53334,TUT-AS,1751.6,7.24e-09
35598,INETCOM INETCOM CARRIER LLC,50489,ORIEDGE Ori Industries 1 Limited,1751.92,7.25e-09
57406,Zero-Distance Zero Distance LLC,62005,BV-EU-AS BlueVPS OU,1752.15,7.25e-09
20932,SIG-ST Services Industriels de Geneve,1547,"IDK-Network INTERDNESTRKOM, Sovmestnoe Zakrytoe Aktsionernoe Obshchestvo",1752.3,7.25e-09
58580,FASTRACK Fastrack Technology,25369,BANDWIDTH-AS Hydra Communications Ltd,1752.59,7.25e-09
62713,AS-PUBMATIC,35625,EUROFIBER-FRANCE Eurofiber France SAS,1753.02,7.25e-09
48185,team_blue AMEN SAS,14537,CL-1379-14537,1753.04,7.25e-09
210937,Showfom Xiufeng Guo,208814,SCHAEFERS Tilman Schaefers,1753.1,7.25e-09
132268,VELOCITYNET-AS-AP Velocity Net Limited,132847,NETSG-AS-AP Network Solutions Group Pty Ltd,1753.35,7.25e-09
12552,IPO-EU GlobalConnect AB,13150,CATON CATO NETWORKS LTD,1753.5,7.25e-09
213151,CHRISELSEN Christian Elsen,21277,Newroz-Telecom-ASN Allay Nawroz Telecom Company for Communication/Ltd.,1753.65,7.25e-09
174,COGENT-174,200956,DTES DELOITTE AUDITORES SL,1753.8,7.25e-09
4230,CLARO S.A.,42325,UFINET LYNTIA NETWORKS S.A.,1753.8,7.25e-09
12479,UNI2-AS Orange Espagne SA,31262,EDICOM EDICOM CAPITAL S.L.,1753.8,7.25e-09
12541,LYNTIA_Inner_AS LYNTIA NETWORKS S.A.,56345,TELEDISTRIBUCION_BAENA_AS TVB TELEDISTRIBUCION S.L.,1753.8,7.25e-09
12541,LYNTIA_Inner_AS LYNTIA NETWORKS S.A.,203600,"tvloja VIVAFIBRA TELECOMUNICACIONES, S.L.",1753.8,7.25e-09
12541,LYNTIA_Inner_AS LYNTIA NETWORKS S.A.,204741,ES-AIRSAT AIRSAT COMUNICACIONES S.L.,1753.8,7.25e-09
13030,INIT7 Init7 (Switzerland) Ltd.,205572,"fibratown-as Fibratown, S.L.",1753.8,7.25e-09
30892,DTGBS_Iberia DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS IBERIA SL,29680,VOZTELECOM Gamma Operadora de Comunicaciones S.A.,1753.8,7.25e-09
34977,PROCONO-AS PROCONO S.A.,34471,EXCOM-AS Free Technologies Excom S.L.,1753.8,7.25e-09
37697,webmasters,32934,FACEBOOK,1753.8,7.25e-09
39384,"RACKFIBER Dream Fusion - IT Services, Lda",56987,AS-ABACLOUDA ABACLOUDA SAS,1753.8,7.25e-09
42325,UFINET LYNTIA NETWORKS S.A.,35625,EUROFIBER-FRANCE Eurofiber France SAS,1753.8,7.25e-09
42325,UFINET LYNTIA NETWORKS S.A.,41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,1753.8,7.25e-09
48348,cloudbuilders Cloud Builders SA,4230,CLARO S.A.,1753.8,7.25e-09
48348,cloudbuilders Cloud Builders SA,35625,EUROFIBER-FRANCE Eurofiber France SAS,1753.8,7.25e-09
48348,cloudbuilders Cloud Builders SA,41327,FIBERTELECOM-AS Fiber Telecom S.p.A.,1753.8,7.25e-09
57365,Numintec Numintec Comunicaciones S.L.,34549,MEER-AS meerfarbig GmbH & Co. KG,1753.8,7.25e-09
61090,Green_Way Green Way Telecomunicaciones S.L.,6057,Administracion Nacional de Telecomunicaciones,1753.8,7.25e-09
207614,AS-FUENLAN Sistemas informaticos y Servicios de internet FuenLan SL,264409,GRUPO YAX,1753.8,7.25e-09
23764,CTGNET CTGNet,2119,TELENOR-NEXTEL Telenor Norge AS,1754.22,7.26e-09
48185,team_blue AMEN SAS,46489,TWITCH,1754.4,7.26e-09
1828,UNITAS,52995,TEN INTERNET Ltda,1754.57,7.26e-09
1828,UNITAS,271303,Brayo LTDA,1754.57,7.26e-09
10429,TELEFONICA BRASIL S.A,264249,Lyra Network Telecomunicacoes LTDA,1754.57,7.26e-09
10733,DC MATRIX INTERNET SA,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1754.57,7.26e-09
10733,DC MATRIX INTERNET SA,52873,Softdados Telecomunicacoes,1754.57,7.26e-09
10733,DC MATRIX INTERNET SA,60068,CDN77 Datacamp Limited,1754.57,7.26e-09
11338,SKY SERVICOS DE BANDA LARGA LTDA,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1754.57,7.26e-09
11338,SKY SERVICOS DE BANDA LARGA LTDA,60503,FNXTEC FNX Tecnologia LTDA,1754.57,7.26e-09
22356,Durand do Brasil Ltda,262981,Pinpoint Tec. Pesq. Software Ltda-ME,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,11338,SKY SERVICOS DE BANDA LARGA LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,28590,Directnet Prestacao de Servicos Ltda.,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,52637,Station Net Provedor de Internet,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,52765,MAXXNET TELECOM,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,52861,SN Internet Navegantes Ltda ME,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,53201,VIRTUAL TELECOM LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,53222,Seanet Telecom Ltda,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,61665,ROMICROS BRASIL LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,262285,VIVAS TELECOMUNICACOES LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,262469,WISP ICONECTA SERVICOS DE REDE LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,262889,Softhouse Solucoes em Informatica,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,262952,LIFE.IN TELECOM,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,263083,FUNDACAO PARQUE TECNOLOGICO ITAIPU - BRASIL,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,263544,VARZEA NET TELECOMUNICACOES LTDA ME,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,264397,SUPRANET TELECOM INFORMATICA LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,265491,ARP TELECOM COMUNICACOES LTDA ME,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,266140,CMC TELECOM LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,266207,Onitel Telecomunicacoes,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,268126,DGNETSP EIRELI,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,268157,ELEVAR TELECOM LTDA,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,268162,Natural Solucoes Internet e Sistemas Ltda,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,269115,TELECOM PROVEDORES E REDES DE COMUNICACAO,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,271126,ONDANET PE,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,272187,CCOP NET COMERCIO E SOLUCOES DE EQUIP DE REDE LTD,1754.57,7.26e-09
22548,Nucleo de Inf. e Coord. do Ponto BR - NIC.,272539,ENEVE TELECOMUNICACOES LTDA,1754.57,7.26e-09
24482,SGGS-AS-AP SG.GS,271733,JRNET COMUNICACAO,1754.57,7.26e-09
28216,Host One Servicos de Internet Ltda,35280,F5 F5 Networks SARL,1754.57,7.26e-09
28255,Wtl Telecomunicacoes do Brasil Ltda,52863,UPX TECNOLOGIA LTDA,1754.57,7.26e-09
28590,Directnet Prestacao de Servicos Ltda.,42473,AS-ANEXIA ANEXIA Internetdienstleistungs GmbH,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,10733,DC MATRIX INTERNET SA,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,11338,SKY SERVICOS DE BANDA LARGA LTDA,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,28590,Directnet Prestacao de Servicos Ltda.,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,28604,Globo Comunicacao e Participacoes SA,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,31529,DENIC-ANYCAST-AS DENIC eG,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,52637,Station Net Provedor de Internet,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,52765,MAXXNET TELECOM,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,52861,SN Internet Navegantes Ltda ME,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,53201,VIRTUAL TELECOM LTDA,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,53222,Seanet Telecom Ltda,1754.57,7.26e-09
28624,PROVEDORA CMA INTERNET LTDA,61665,ROMICROS BRASIL LTDA,1754.57,7.26e-09
35280,F5 F5 Networks SARL,52637,Station Net Provedor de Internet,1754.57,7.26e-09
