AS1,AS2,CO2_per_link,Count,Total_CO2,Relation,Source
174,22381,205.87,4271,879270.77,-1,bgp
174,22395,383.55,119,45642.45,-1,bgp
174,22399,374.46,828,310052.88,-1,bgp
174,22414,383.55,130,49861.5,-1,bgp
174,22418,383.55,611,234349.05,-1,bgp
174,22422,383.55,28,10739.4,-1,bgp
174,22423,178.64,2473,441776.72,-1,bgp
174,22427,467.04,914,426874.56,-1,bgp
174,22436,383.55,1032,395823.6,-1,bgp
174,22438,383.55,715,274238.25,-1,bgp
174,22439,362.69,10457,3792649.33,-1,bgp
174,22444,383.55,378,144981.9,-1,bgp
174,22458,383.55,9194,3526358.7,-1,bgp
174,22478,383.55,215,82463.25,-1,bgp
174,22481,383.55,1019,390837.45,-1,bgp
174,22483,174.81,344,60134.64,-1,bgp
174,22484,383.55,341,130790.55,-1,bgp
174,22491,174.81,202,35311.62,-1,bgp
174,22500,383.55,345,132324.75,-1,bgp
174,22507,383.55,325,124653.75,-1,bgp
174,22541,396.54,16833,6674957.82,-1,bgp
174,22549,383.55,6907,2649179.85,-1,bgp
174,22554,383.55,629,241252.95,-1,bgp
174,22583,383.55,344,131941.2,-1,bgp
174,22593,383.55,135,51779.25,-1,bgp
174,22598,383.55,756,289963.8,-1,bgp
174,22604,322.04,1816,584824.64,-1,bgp
174,22611,353.57,2410,852103.7,-1,bgp
174,22612,371.81,7177,2668480.37,-1,bgp
174,22618,383.55,14,5369.7,-1,bgp
174,22620,383.55,344,131941.2,-1,bgp
174,22633,383.55,688,263882.4,-1,bgp
174,22639,174.81,24914,4355216.34,-1,bgp
174,22644,383.55,720,276156.0,-1,bgp
174,22645,383.55,22753,8726913.15,-1,bgp
174,22647,383.55,8604,3300064.2,-1,bgp
174,22652,245.45,287954,70678309.3,-1,bgp
174,22663,368.24,1252,461036.48,-1,bgp
174,22683,301.11,134,40348.74,-1,bgp
174,22687,383.55,255,97805.25,-1,bgp
174,22697,359.74,208,74825.92,-1,bgp
174,22705,383.55,344,131941.2,-1,bgp
174,22709,383.55,866,332154.3,-1,bgp
174,22711,383.55,894,342893.7,-1,bgp
174,22713,383.55,344,131941.2,-1,bgp
174,22727,383.55,846,324483.3,-1,bgp
174,22742,383.55,12708,4874153.4,-1,bgp
174,22747,383.55,609,233581.95,-1,bgp
174,22754,383.55,565,216705.75,-1,bgp
174,22755,383.55,336,128872.8,-1,bgp
174,22764,429.32,906,388963.92,-1,bgp
174,22775,374.02,418,156340.36,-1,bgp
174,22781,382.5,1299,496867.5,-1,bgp
174,22804,383.55,1032,395823.6,-1,bgp
174,22805,287.78,688,197992.64,-1,bgp
174,22808,374.6,28,10488.8,-1,bgp
174,22820,383.55,2221,851864.55,-1,bgp
174,22830,383.55,689,264265.95,-1,bgp
174,22834,383.55,207,79394.85,-1,bgp
174,22840,383.55,344,131941.2,-1,bgp
174,22843,383.55,4921,1887449.55,-1,bgp
174,22850,351.91,3158,1111331.78,-1,bgp
174,22875,383.55,153,58683.15,-1,bgp
174,22885,383.55,526,201747.3,-1,bgp
174,22890,383.55,34,13040.7,-1,bgp
174,22891,383.55,424,162625.2,-1,bgp
174,22892,383.55,345,132324.75,-1,bgp
174,22894,484.83,1024,496465.92,-1,bgp
174,22898,383.55,3194,1225058.7,-1,bgp
174,22904,383.55,1201,460643.55,-1,bgp
174,22906,383.55,600,230130.0,-1,bgp
174,22907,383.55,71,27232.05,-1,bgp
174,22908,483.93,35806,17327597.58,-1,bgp
174,22911,383.55,11818,4532793.9,-1,bgp
174,22917,383.55,344,131941.2,-1,bgp
174,22926,383.55,1000,383550.0,-1,bgp
174,22931,383.55,290,111229.5,-1,bgp
174,22937,383.55,417,159940.35,-1,bgp
174,22945,383.55,344,131941.2,-1,bgp
174,22973,383.55,344,131941.2,-1,bgp
174,22984,383.55,2934,1125335.7,-1,bgp
174,22990,383.55,1020,391221.0,-1,bgp
174,22994,383.55,687,263498.85,-1,bgp
174,23000,383.55,344,131941.2,-1,bgp
174,23004,383.55,688,263882.4,-1,bgp
174,23010,383.55,343,131557.65,-1,bgp
174,23013,366.86,344,126199.84,-1,bgp
174,23015,310.71,486,151005.06,-1,bgp
174,23033,387.67,32957,12776440.19,-1,bgp
174,23047,383.55,161,61751.55,-1,bgp
174,23068,383.55,2212,848412.6,-1,bgp
174,23069,383.55,113,43341.15,-1,bgp
174,23078,383.55,511,195994.05,-1,bgp
174,23088,360.72,694,250339.68,-1,bgp
174,23089,383.55,70044,26865376.2,-1,bgp
174,23096,383.55,1897,727594.35,-1,bgp
174,23103,383.55,292,111996.6,-1,bgp
