ASN,Organization,CO2 Emissions
18222,DATAHUB-AS-AP Data Hub Pvt. Ltd.,23.36
45650,VIANET-NP VIA NET COMMUNICATION LTD.,23.36
4613,MOS-NP Mercantile Office Systems,23.36
24504,COMPLAND-AS-NP Computer Land Communications Global AS,23.36
149817,CEIPL-AS-AP Cloud Eight International Pvt. Ltd.,23.36
132799,DMNPL-AS-AP DISH MEDIA NETWORK PUBLIC LIMITED,23.36
58456,IOE-NET-NP-AS Institute of Engineering,23.36
45353,NITC-AS-AP NITC: IT Agency of Government of Nepal,23.36
152307,DWPL-AS-AP DataWorld,23.36
151480,DATASPACEPVTLTD-AS-AP Dataspace Pvt. Ltd.,23.36
151207,KPL-AS-AP Khalti Private Limited,23.36
150331,BCPL-AS-AP Beni Communication Private Limited,23.36
23752,NPTELECOM-NP-AS Nepal Telecommunications Corporation,23.36
149652,NBL-AS-AP Nepal Bank Limited,23.36
142065,WIFINEPAL-AS-AP Wifi Nepal Private Limited,23.36
141032,NEPALINK-AS-AP Nepalink Communication Pvt. Ltd.,23.36
141024,BMNPL-AS-AP Big Marshyangdi Net Pvt. Ltd.,23.36
140948,NEOLINKPVTLTD-AS-AP Neo Link Pvt. Ltd.,23.36
139902,SCNPL-AS-AP SURKHET CABLE NET T.V. PVT. LTD.,23.36
139741,WFNPL-AS-AP World Fiber Net Pvt. Ltd.,23.36
150131,DLNPL-AS-AP D.G. Link Network Pvt Ltd,23.36
137978,CDS-CLEARING-AS-AP CDS and Clearing Ltd,23.36
138500,FIBERTEL2-AS-AP FIBERTEL FIBERNET PVT. LTD,23.36
141767,CG-COMMUNICATION-AS-AP C G Communications Pvt. Ltd,23.36
137187,WLINK-CDN-AS-AP WorldLink Communications,23.36
17501,WLINK-NEPAL-AS-AP WorldLink Communications Pvt Ltd,23.36
135043,CUNPL-AS-AP Chitrawan Unique Net Private Limited,23.36
135303,NSPL-AS-AP N.I.T.V Streamz Pvt. Ltd,23.36
135044,BIPL-AS-AP Bihunkot Internet Private limited,23.36
136461,VNP-AS-AP Virtual Network Pvt.Ltd,23.36
136794,ADBL-AS-AP Agricultural Development Bank Ltd,23.36
136908,SBPL-AS-AP Sky Broadband Pvt. Ltd,23.36
137580,EWNET-AS-AP Everest Wireless Network pvt. ltd,23.36
137880,PRIME-AS-AP Prime Network Pvt.ltd,23.36
135337,CHPL-AS-AP Cloud Himalaya Pvt Ltd,23.36
329327,Bank-of-Abyssinia-Share-Company,23.55
329226,AddIX-IXP-MGMT,23.55
329227,WS-ASN,23.55
329265,CBOE3-AS,23.55
328988,SAFARICOM-TEL,23.55
37467,ETherNeT,23.55
24757,EthioNet-AS,24.060624000000004
137925,GIC-BHUTAN-AS-AP GIC-Bhutan Reinsurance Co. Ltd.,24.19
141680,SUPERNET1-AS-AP SuperNet Infocomm,24.19
137412,TASHICELL-MOBILE-AS Tashicell Domestic AS Thimphu Bhutan,24.19
38004,FASTLINK-ISP FastLink Wireless ISP,24.19
7615,BTIX-AS-AP Bhutan Internet Exchange,24.19
151955,DPBL-AS-AP DRUK PNB BANK LIMITED,24.19
151498,BPCL-AS-AP Bhutan Power Corporation Ltd,24.19
140695,BANKOFBHUTAN-AS-AP Bank of Bhutan Limited,24.19
152317,WPDA-AS-AP Wangdue Phodrang Dzongkhag Administration,24.19
18024,BTTELECOM-AS-AP Bhutan Telecom Ltd,24.19
138529,DATANET-AS-AP DATANET WIFI,24.19
135666,MOIC-AS-AP Government Data Center DITTMoIC,24.19
132894,MUD-AS-AP Sigma Internet Service,24.19
132232,DCS-AS Data Centre Services,24.19
18025,BTTELECOM-AS-AP Bhutan Telecom Ltd,24.19
134715,GTA-AS-AP Government Technology Agency,24.19
136039,NANO-AS-AP NANO,24.19
138558,GDNI-AS-AP Gelephu Digital Network,24.19
206088,ShqiponjaISP shqiponjaisp.al LLC,24.42
205244,Firstcom NEXT-TV SHPK,24.42
204816,VANI VANI SHPK,24.42
203063,ISPBA-ASn1 INTESA SANPAOLO BANK ALBANIA PJSC,24.42
202080,giganet G net Sh.p.k,24.42
199276,ermal Tele.Co.Albania SHPK,24.42
42409,AKEP-AS Autoriteti i Komunikimeve Elektronike dhe Postare - AKEP,24.42
12783,ENET-AL-AS ENET Shpk,24.42
212752,NetBSS Business Strategic Solution SHPK,24.42
216312,XhimiNet Gezim Cerri,24.42
215946,nextfiber NEXT Fiber SHPK,24.42
207502,SPEED-LINE SPEED LINE SHPK,24.42
211210,KORABI-NET KORABI-NET SHPK,24.42
209839,LuvaGroup Luva Group Sh.p.k.,24.42
209302,SHIMAJ-NET-AS Bujar Shimaj,24.42
209277,APT-CABLE-AS APT CABLE SHPK,24.42
201524,ASP Albania State Police,24.42
58166,Credins-AS Credins Bank Sh.A.,24.42
205110,next-tv NEXT-TV SHPK,24.42
207876,AS-SET-NEWAVE Roland Delia trading as NEWAVE,24.42
196838,"ASC-AL-AS196838 ""Albanian Satellite Communications"" sh.p.k.",24.42
212766,Netsyscom Netsyscom sh.p.k,24.42
58137,ROUTE-ANIX RASH - Rrjeti Akademik Shqiptar,24.42
215883,FastLink FastLink SHPK,24.42
211385,DIGITEL DIGITEL ALBANIA SHPK,24.42
202558,AS-SET-LOBINET M.R.M shpk,24.42
211458,IH-NET IH-NETWORK SHPK,24.42
207330,Drinia Drinia Tech SH.P.K,24.42
216046,tele-co-tirana Tele.Co.Albania SHPK,24.42
215910,MY_NET-TV_EDMA Edmond Manja trading as MY NET-TV EDMA,24.42
210003,SkyElbasan SKY ELBASAN sh.p.k,24.42
211098,infogis INFOGIS SH.P.K.,24.42
201967,elinet Erlis Marku,24.42
215025,netcom NET.COM SHPK,24.42
212637,LightNet Lightnet Sh.p.k.,24.42
215707,iHostAL Thimaq Strati trading as iHost.al,24.42
213363,Fiberconn-AS FiberConn (SH.P.K),24.42
215773,txrx TX RX SHPK,24.42
211356,mytvalb MyTv-Alb SH.P.K.,24.42
202179,IDS-AS Intercom Data Service sh.p.k,24.42
38916,FBD-AL-AS FBD shpk,24.42
212986,menocom MENOCOM Sh.p.k.,24.42
205278,NETCOM NetCom ISP Sh.p.k.,24.42
6843,Diginet Diginet shpk,24.42
50616,AMC ONE ALBANIA SH.A.,24.42
5414,BANK-OF-ALBANIA Banka e Shqiperise,24.42
57388,IBC-AS I.B.C - Telecom Sh.p.k.,24.42
213683,host-al-asn Host.AL Shpk,24.42
210125,PriamNET PRIAM NET Sh.p.k.,24.42
209240,isanet ISA.NET Sh.p.k.,24.42
202710,abnet ABnet Sh.p.k,24.42
60471,Mobitel-BGP Mobitel sh.p.k.,24.42
60352,Selcom-AL-AS S E L C O M SHPK,24.42
60304,STARNET Starnet Sh.p.k.,24.42
33924,PRONET-AL-AS Pronet sh.p.k.,24.42
209442,FastNet-Korce FASTNET ALBANIA Sh.p.k,24.42
208630,InfotelecomAlbania-AS INFO-Telecom Shpk,24.42
47394,"ASC-AL-AS ""Albanian Satellite Communications"" sh.p.k.",24.42
21246,IPKO-AS IPKO Telecommunications LLC,24.42
21183,VODAFONE-FIX-AS Vodafone Albania Sh.A.,24.42
50973,VODAFONE-AL-ASN Vodafone Albania Sh.A.,24.42
5576,AKSHI Agjencia Kombetare Shoqerise se Informacionit,24.42
198279,ATU-AL-AS Albanian Telecommunications Union SH. P.K.,24.42
42313,ONEALBANIA-AS ONE ALBANIA SH.A.,24.42
35047,AbissNet Abissnet sh.a.,24.42
204894,StyleNet Ezmir Kraja trading as StyleNet,24.42
213206,map-ashi Ministry of Internal Affairs (Kosovo),24.42
208734,elsa-tech ELSA-TECH SH.P.K.,24.42
207047,RAIFFEISEN-KS-AS Raiffeisen Bank Kosovo JSC,24.42
201708,Raiffeisen-AL-AS RAIFFEISEN BANK SH.A,24.42
207385,CredinsBank Credins Bank Sh.A.,24.42
201249,IPRO IPRO Sh.p.k.,24.42
29238,Nisatel Nisatel LTD,24.42
211468,KOSNET KOSNET Telecommunications LLC,24.42
210748,aab-edu UNIVERSITETI AAB SH.P.K,24.42
50091,"negenet Ylli Zeka trading as N.T.SH. ""NEGENETI""",24.42
39237,ITS-AS I.T.S. SH.P.K.,24.42
216122,SBC-Fiber Suhareka Broadband Comunication SH.P.K.,24.42
203675,Vista VISTA SH.P.K.,24.42
211147,INTERFIBER INTERFIBER Sh.p.k,24.42
204100,"PCBK ""ProCredit Bank"" Sh.a",24.42
48265,ITIRANA-AL-AS NSolution sh.p.k,24.42
56782,AMS-AS ALBANIA MARKETING SERVICE Ltd,24.42
211080,KREN-ASN Ministry of Economy of Republic of Kosovo,24.42
202433,Acenet Acenet sh.p.k.,24.42
205832,UltraNet ULTRANET sh.p.k,24.42
209465,vigal VIG SERVICES SHQIPERI Sh.p.k.,24.42
57070,ITCOM-Shkoder ITCOM Shpk,24.42
57961,RASH-AS RASH - Rrjeti Akademik Shqiptar,24.42
269748,MOSSO Y ASOCIADOS SOCIEDAD ANONIMA CABLE DIGITAL DEL ESTE,24.86
271775,ARLINDO PORATH NETN@R NARANJITO,24.86
266673,FLYTEC TELECOM SOCIEDAD ANONIMA,24.86
