ASnumber,AS_ID,AS_Organization,CO2_Intensity
133149,133149_KONNECTNEPAL-AS-AP,Konnect Nepal Networks Pvt Ltd,23.36
133923,133923_KANTIPUR-AS-AP,Kantipur Publications Limited,23.36
134995,134995_IZONE-AS-AP,I. ZONE PVT. LTD.,23.36
135334,135334_UDPL-AS-AP,Umrao Datacenter Pvt Ltd,23.36
138933,138933_FNCPL-AS-AP,Fiber Net Communication Pvt. Ltd.,23.36
140324,140324_ACSPPL-AS-AP,Airlink Communication Service Provider Pvt. Ltd.,23.36
149631,149631_IPC-AS-AP,IOE Pashchimanchal Campus,23.36
149866,149866_SSCNPL-AS-AP,Super Sitapaila Cable Net Pvt. Ltd,23.36
55427,55427_BROADLINK-AS-AP,BroadLink Networks and Communications,23.36
147184,147184_LMDCN-AS-AP,Lumbini Max,23.36
149037,149037_MAVORION-AS-AP,Mavorion Systems,23.36
135335,135335_MAXNET-AS-AP,Max Net Solutions Pvt Ltd,23.36
142606,142606_SHANGRILA-AS-AP,Shangrila Informatics Private Limited,23.36
146947,146947_NNPL-AS-AP,Nimble Network Pvt Ltd,23.36
151393,151393_NNICPL-AS-AP,Nepal Network Information Center Pvt. Ltd.,23.36
132877,132877_KSPL-AS-AP,Kalash Services Pvt Ltd,23.36
141047,141047_NDSPL-AS-AP,Nepal Digital Service Pvt. Ltd.,23.36
58459,58459_Websurfer-International-Transit,Websurfer International Transit,23.36
138964,138964_BARAHI-AS-AP,Barahi Internet Technologies Pvt. Ltd.,23.36
137209,137209_OBIPL-AS-AP,Oasis Broadband Internet Pvt. Ltd.,23.36
138350,138350_PRABHUTV-AS-AP,PRABHU DIGITAL PUBLIC LIMITED,23.36
139224,139224_LISPL-AS-AP,Limpid ICT Solution Pvt. Ltd,23.36
140050,140050_NG-AS-AP,Next Geekers Pvt. Ltd.,23.36
140989,140989_BBNPL-AS-AP,Broad Band Nepal Pvt. Ltd.,23.36
150138,150138_NEA-AS-AP,Nepal Electricity Authority,23.36
134467,134467_SMPL-AS-AP,Syangja Media,23.36
136530,136530_ULTRANET-AS-AP,Ultranet Communications,23.36
138495,138495_ALISHA-AS-AP,Alisha Communication Link Pvt.Ltd,23.36
142297,142297_SMARTLINK-AS-AP,Smart Link Network Pvt Ltd,23.36
150133,150133_MIPL-AS-AP,Made Infotech Pvt Ltd,23.36
150424,150424_JNLPL-AS-AP,Janaki Net Link,23.36
152178,152178_SAHAJ-AS-AP,Sahaj Network Pvt. Ltd.,23.36
152677,152677_GRS1-AS-AP,GRS Link,23.36
131266,131266_UCNPL-AS-AP,Udaya Cable Network Pvt. Ltd.,23.36
141459,141459_CLEAN-AS-AP,Clean Network Pvt. Ltd,23.36
134504,134504_EVEREST-AS-AP,Everest Link Pvt. Ltd,23.36
139261,139261_METROLINK-AS-AP,Metrolink Business Group Pvt Ltd,23.36
141410,141410_AIPL-AS-AP,Airson Internet Pvt Ltd,23.36
152448,152448_GTAISPL-AS-AP,Global Trading And IT Solution Pvt. Ltd.,23.36
152736,152736_SINKO-AS-AP,Sinko IT Engineering Pvt. LTD,23.36
23672,23672_IBSSNET-NP,Airwave Pvt. Ltd.,23.36
