as1,as2,count
18403,18403,2674681
1299,18403,134618
18403,3491,12287
6762,8452,892878
3356,6128,154532
6128,6128,120930
174,6128,31154
49544,6128,2078
2828,701,50046
1299,6128,22999
1299,3257,2035927
11427,7843,167244
20001,7843,172723
1136,5511,36943
1136,6830,87195
1136,49544,1314
1273,3356,277965
12430,1273,90427
12430,49544,918
1299,29447,3929
29447,29447,17765
174,29447,4959
29447,49544,66
48237,8551,1617
200612,8551,1818
49544,8551,3426
13285,3356,1461
13285,9105,14388
3292,3356,15698
3257,3292,9002
3292,49544,1300
33915,6830,141351
3356,5378,2766
1273,5378,11802
49544,5378,100
3356,6848,8948
6830,6848,35937
1299,25400,85487
25400,41164,29626
3303,48237,7524
3303,49544,1914
2119,48237,539
1299,2119,25118
2119,49544,1225
3257,8657,3143
3243,8657,9971
174,8657,4391
6939,8657,49359
8657,8657,48368
49544,8657,501
1299,5466,4046
174,5466,2577
49544,5466,118
48237,8708,1562
174,8708,46569
49544,8708,2378
3356,6667,195814
6667,719,95290
174,6667,97727
49544,6667,1293
13285,200612,68
12713,3356,12938
12713,6799,85719
12713,1299,26128
12713,49544,1377
3356,47377,13460
3356,9158,2153
174,9158,1830
9158,9158,2022
49544,9158,68
1299,8402,4145
174,3216,141722
3216,8402,129651
3216,49544,15469
1299,7029,378777
49544,7029,7234
4134,4812,219409
1299,7545,835937
133612,7545,183200
174,7545,1313123
3257,3491,699767
16637,29465,179663
29465,29465,37312
2914,6453,1858909
23889,6453,24928
174,6453,1331476
23889,49544,703
16637,36972,16343
37662,5511,45857
327708,37662,239018
327708,37287,18914
37662,6939,765938
37662,49544,5499
3257,8452,700440
49544,5713,1866
200612,8966,17078
3209,8966,9
9674,9674,26174
3786,6453,130980
48237,9498,6178
174,9498,305164
49544,9498,119966
174,2518,22031
2518,49544,473
3786,9316,5933
21320,3356,21600
21320,378,13191
174,21320,27024
3257,376,19020
174,376,35386
376,49544,502
3356,702,13512
11003,702,4550
174,702,38314
49544,8220,20690
11003,8220,10456
2116,3356,31425
2116,5619,3319
1299,2116,27210
49544,5619,54
7018,81,2162
11164,49544,3646
11164,81,2394
10429,12956,1134437
10429,26599,299636
14962,7018,14582
327708,37100,40611
327708,36926,157991
3257,37100,33360
37662,9498,10418
327708,9498,93060
8452,8966,76
36992,8452,396945
36992,36992,346179
3356,6939,1872603
49544,6939,627992
37154,37662,12959
20459,49544,120
20459,37154,6111
3356,6057,77410
174,6057,522409
49544,6057,5980
2897,7018,2426
701,7792,4162
4788,6453,6345
174,4788,46335
4788,6939,140073
32098,3257,348999
13999,32098,563758
32098,49544,12587
1299,6697,5377
200612,6697,515
49544,6697,1086
3356,6619,17100
6619,9318,13318
3356,39386,518935
25019,39386,2935419
200612,51375,38696
39386,51375,144366
39386,49544,26837
13489,27831,3462
1299,702,49573
3356,3741,290550
174,3741,315272
3741,49544,1939
3741,3741,981903
10474,3741,7095
2914,4538,8790
209,210,1979
174,210,2306
210,210,3436
210,6461,14739
209,3561,157568
2914,4837,69246
4808,4837,981398
140570,3491,4590
45090,4811,283357
4134,6453,95185
18403,9304,67007
48237,8966,549
5384,8966,144913
49544,8966,2668
12400,3356,18438
12400,200612,596
12400,49544,1423
3356,9198,41463
200612,23764,5338
23764,9198,131430
23764,49544,7578
35819,48237,439245
34400,35819,8424
48237,49544,5735
23724,4134,488738
23724,37963,30834
3257,3356,2032060
4755,6453,6010585
1299,6453,2247628
6453,7545,520685
3257,5769,13724
174,5769,28735
49544,5769,698
2856,6871,24874
15169,48237,1083
15169,19527,6213
19527,6939,4068
3356,3549,1630825
56046,9808,1097142
3356,6849,57059
6849,{6877},1053
200612,6849,256
49544,6849,174
1299,9049,914536
31200,9049,24334
49544,9049,8333
37963,4808,7430
1299,32787,232188
32787,4249,50755
200612,32787,5365
32787,49544,25558
3356,37558,20829
21003,37558,68309
4788,4788,24329
17762,4755,506259
17762,45820,694
2914,3491,1164040
3491,9924,474149
2914,6461,975425
6461,9500,9825
6939,9500,47749
49544,9500,447
4134,58466,393579
45090,58466,287755
32934,48237,45
200612,32934,84
32934,49544,581
17511,2914,1988
17511,17511,14389
174,17511,5936
17511,49544,320
1299,9680,33736
6389,7018,190617
6461,7385,147539
3257,4181,9689
4181,49544,2356
11426,7843,156767
36351,48237,280
1299,36351,8976
36351,49544,1920
11351,7843,189654
3257,7155,398405
49544,7155,7850
6730,6830,1107548
3356,8447,28886
25255,8447,22264
174,1764,381832
1764,25255,50698
25255,49544,436
12741,3356,35351
12741,49544,1347
2110,5400,9498
49544,5400,1107
1299,8447,25794
49544,8447,1035
1299,1759,102393
3356,5432,15789
174,6774,13595
5432,6774,35634
1299,8708,67644
1136,8737,23775
3265,8737,7605
13237,3257,126410
13237,49544,1086
3320,5483,83216
49544,5483,574
12479,3356,267992
12479,12479,707634
3320,8412,67086
49544,8412,496
16086,3356,13742
16086,174,14153
16086,49544,379
1299,5610,43076
174,5610,34133
49544,5610,542
174,9141,30337
1299,9141,49695
1299,21334,18394
21334,9002,11764
174,2860,21971
2860,49544,494
13285,174,786
3356,8881,17617
8881,8881,100051
174,8881,19627
49544,8881,1998
48237,8359,800
1299,8359,272644
49544,8359,8627
20676,3356,6807
20676,49544,178
12353,1273,10629
1299,39386,425026
3356,9121,324287
12978,9121,14307
200612,9198,506
9198,9198,14113
43727,49544,2765
43727,9198,100023
14654,7018,84767
17709,4780,502760
4637,4780,388840
4780,9002,389756
37054,5511,2790
23764,30990,23166
30990,30990,207336
30990,37054,6160
16637,36974,124332
16637,16637,82998
30999,6461,4140
174,37468,225345
30999,37468,3380
30999,49544,493
2609,5511,58740
3356,5511,473590
12956,15964,30393
15964,36912,33178
15964,174,37860
15964,15964,85072
15169,36384,4587
3491,37119,5559
37119,37119,12016
37119,8657,5927
37119,49544,64
37457,5713,9541
1273,15502,17436
3356,58453,2147143
132525,9808,203347
4812,9812,7738
9812,9812,6999
17621,4837,285362
17621,37963,11970
2914,9304,161329
3257,6453,357031
17676,2914,48578
17676,9595,4790
9595,9595,22863
38040,58453,5677
23969,38040,362249
174,38040,4594
38040,6939,239642
38040,49544,4056
4739,7545,181503
24445,9808,375317
24444,9808,449453
38841,9924,145617
1299,9299,116082
6939,9299,185276
13335,48237,5236
13335,18676,4376
13335,3257,55027
13335,49544,30356
1299,7632,36497
23700,7632,55478
174,7632,57591
1299,19782,4379
19782,19782,31566
19782,87,7423
174,19782,2870
2381,6939,82982
2381,2381,124584
19782,2381,20887
11164,19782,3577
1299,52320,527651
52320,7738,912189
174,52320,193316
49544,52320,14504
3223,3356,89609
3223,3223,8303
3223,35916,7020
3223,3491,22925
3223,49544,4916
2603,6762,76120
224,2603,10472
1299,1299,643945
1299,2603,13339
2603,2603,31014
224,49544,60
2914,3741,264120
37130,3741,9614
20057,7018,576612
3480,6461,6539
3480,3480,1806
10490,49544,146
10490,3480,257
3356,7792,7694
11686,6461,96010
5511,6939,339437
46749,6939,1931
46749,46749,1420
32,46749,1603
2152,46749,499
109,3356,13522
109,7922,19
34984,6762,178612
34984,34984,203141
34984,6453,649572
7738,8167,173530
10429,18881,331791
3356,4230,597302
22085,4230,4192
174,4230,266007
4230,49544,13190
174,9198,781987
20485,49544,8982
20485,9198,188487
1299,31133,183737
174,31133,153660
31133,49544,8851
12912,3320,10214
12912,49544,504
3356,9002,2285236
28840,9002,16627
12389,28840,57191
19978,3356,84159
19978,6306,27443
12956,22927,751777
28573,4230,1058789
2914,4788,54433
22047,3356,183987
22047,27978,84611
27978,6535,21626
12956,28008,50368
28008,28008,68606
23201,28008,190452
28008,49544,792
1299,9829,76540
17813,9829,30115
1299,2527,13147
2516,2527,5059
2527,49544,292
1299,23520,875255
11556,23520,101253
174,23520,626584
23520,6830,634642
21575,3356,13294
12956,21575,19965
11172,1299,569888
11172,6503,11458
3356,50266,14186
50266,50266,36793
49544,50266,532
3356,5603,16490
49544,5603,306
12956,3816,612419
12956,7004,151900
7004,7418,40732
2200,3257,23675
2200,49544,273
3356,786,26451
1299,786,33027
49544,786,650
21320,2603,88532
21320,766,21073
174,766,3466
766,766,33660
49544,766,296
174,327727,1007213
24691,327727,6118
24691,24691,6180
3356,37425,17308
24757,37425,47953
200612,58453,183
24757,58453,841
174,36944,78274
36914,36944,97038
36947,5511,27567
36891,36947,12095
297,6762,8891
209,297,36655
2914,297,27278
293,3356,2511
293,293,97932
291,293,411
293,6939,46607
293,49544,438
292,293,411
3356,5715,27866
40160,5715,102680
40160,5006,30946
3257,5715,15304
5715,6461,57186
3356,6289,2939
6289,6461,3586
3356,3910,63494
3561,3910,53637
4134,58461,212137
37963,58461,53246
3491,4760,138335
3216,3356,309753
3216,9198,69219
29355,9198,30650
12389,9198,306372
31133,9198,177989
33891,48237,10730
33891,49666,215368
49666,49666,1180344
48159,49666,579916
48159,58224,570592
16509,200612,725
16509,8987,60237
15802,48237,229
15802,200612,557
15802,49544,1627
20978,9121,173297
1273,3329,162530
3329,3329,305791
12586,3257,815750
12586,1299,37007
668,6939,124060
49544,668,626
27064,721,3343849
27064,27065,191851
27065,367,184552
1554,367,37622
174,26662,942
3257,702,24104
395959,702,807
2856,395959,240
14340,3356,4975
14340,49544,192
16509,8966,25
16509,2914,1093092
8070,8075,14025
3257,40065,44885
40065,49544,562
21859,48237,791
21859,45543,2412
45543,6939,62576
2914,9605,64746
174,2497,565032
2497,9605,101294
49544,9605,3442
1299,39603,4140
174,39603,1126
39603,49544,36
16342,3356,3504
16342,200612,31
16342,49544,52
2688,7018,11884
2686,3356,3374
174,2686,9715
2686,49544,923
1299,15169,66175
15169,3356,34016
174,43515,1608
19527,43515,2943
2914,9498,390974
38565,9498,82860
48237,8781,202
200612,8781,455
49544,8781,2968
1267,3356,152345
1267,24608,5122
49666,6762,502741
58593,8075,14396
15475,36992,3475
23764,33771,28147
5511,8346,41538
174,8346,17104
3356,36992,219200
16058,6713,14949
16058,16058,6168
4760,4760,25205
17638,4134,197404
3491,45102,31913
12297,6453,21157
12297,200612,328
12297,49544,676
174,8374,3377
49544,8374,71
1299,15895,32452
15895,174,18190
15895,49544,696
21283,8447,16744
1273,15924,543136
15897,15924,199732
3216,39927,1121
39927,39927,4831
31133,39927,2291
52075,6762,1188
52075,52075,13076
49544,52075,48
20115,7843,229866
1299,19108,117930
45102,48237,246
45102,45102,71654
4635,8966,692
4538,4635,11251
174,4818,2321
4788,49544,11113
4788,4818,3271
17924,9304,17481
17924,17924,124208
174,17924,8217
49544,9304,4784
9924,9924,445195
24164,9924,96334
3491,7497,51976
174,7497,145755
10013,2914,144540
9617,9824,42307
20055,3257,15361
174,20055,28642
20055,49544,898
26496,3356,77438
1299,26496,75926
26496,49544,1127
12876,48237,14
12876,174,1071
12876,49544,42
29695,3356,18113
1299,29695,22356
29695,49544,280
1299,5607,8944
16276,48237,443
16276,200612,534
16276,49544,1222
2647,5511,18510
2647,51964,32329
2647,49544,162
4862,5511,4006
4862,51964,43892
4862,58453,19286
10282,5511,13461
10282,51964,23689
2874,49544,58
2874,51964,9575
4004,5511,4864
4004,51964,10464
5511,5583,8077
51964,5583,16758
4837,4837,169557
24139,4837,18015
15412,2914,93612
15412,9416,5698
174,9505,49527
9416,9505,4303
4134,4847,460234
3356,9269,46820
174,9269,36400
49544,9269,1898
2764,7545,130443
12312,1299,2964
12312,49544,76
3356,5410,2796
13127,50266,72976
174,50266,11517
1299,3308,21778
1299,24785,127478
24785,8918,877
8918,8918,2694
49544,8918,6
14551,701,4882
600,7018,20262
19902,600,2080
49544,600,636
1226,3356,15971
1226,1226,34816
20115,3356,60921
20115,33588,20410
20115,3257,104888
20115,49544,15792
3257,7992,8672
174,7992,13909
49544,7992,268
3356,36149,11650
174,36149,13457
36149,49544,232
13490,3257,36523
13490,174,68400
13490,6939,118687
13490,49544,1054
1299,6461,1249219
12271,7843,67224
1299,7843,261103
12389,3257,224455
12332,12389,15347
12849,1299,39995
3356,8468,4877
1299,8468,6018
49544,8468,132
3356,8422,2683
174,8422,3254
49544,8422,249
1273,16019,67647
1273,3257,138519
24940,48237,199
200612,24940,154
24940,49544,478
12302,1273,215083
33891,6855,343
3320,6855,15114
8708,8708,40060
57269,8708,13735
12389,8615,7593
174,3303,134927
12430,6739,38746
1299,13037,2684
13037,13037,13288
13037,49544,82
6939,8551,117332
3257,8612,4113
49544,8612,58
3356,8851,8304
8851,8851,311569
6939,8851,67663
49544,8851,510
3356,8708,37360
20879,8708,61524
13156,20879,59380
3257,3320,450262
1299,20845,26471
20845,49544,254
1299,50266,18365
174,5390,411
49544,5390,10
1299,28725,13392
28725,49544,177
3356,8560,25479
6724,8560,5602
1299,8560,28981
49544,8560,876
21215,3356,1979
205714,21215,358
3212,6939,831998
205714,3212,1326
31042,49544,1066
205714,31042,3300
48237,9050,76
3257,9050,29006
49544,9050,1550
29384,6461,6587
15516,3292,1439
15516,49544,26
25310,5378,1412
1299,3326,54675
3326,34058,16944
174,3326,37141
34058,49544,202
34397,39386,11226
12929,25400,3165
14618,8011,1411
3292,8989,1420
1299,3249,42050
3356,9145,3478
174,9145,6304
49544,9145,302
206067,3257,1176
174,206067,6266
206067,49544,416
50482,9198,11707
1273,8402,4385
3356,8400,22384
13004,200612,1614
13004,8400,4898
49544,8400,1486
3257,50245,1148
44546,50245,3730
20562,49544,397
20562,50245,4919
1299,6849,25305
6849,9002,43878
205647,49666,125428
205647,31549,81667
12389,25515,10472
11232,3257,3097
11232,6939,52657
11232,49544,424
11686,174,9872
210278,3356,1400
1299,210278,1766
210278,49544,26
38040,6453,5739
3257,4134,212047
2609,327934,32796
2609,6762,83468
327782,37100,174530
30844,48237,721
30844,37294,25716
174,20459,19080
20459,37294,7014
16637,37294,7997
48237,6939,27896
12455,37662,28202
12455,12455,21072
3999,6461,3474
3999,3999,7044
3999,49544,28
18779,3257,101906
18779,18779,287833
174,18779,159977
18779,49544,1858
1299,54600,20524
49544,54600,148
174,46375,27920
46375,46375,142680
46375,49544,432
12392,1299,17247
12392,174,15696
12392,49544,240
38082,6453,109167
38082,7470,775304
7470,7470,474096
38082,5511,36632
38082,6939,399270
38082,4637,52266
38082,38082,864102
3491,7632,18751
56044,9808,571070
17897,4134,8819
48237,9534,168
6453,9534,23745
2914,9534,29616
17623,4837,370301
17623,17962,9504
17645,2914,11301
17645,4657,7684
3758,4657,10516
3758,9506,110722
3758,7473,404901
4721,9824,56725
3491,4826,17935
4826,9790,35992
23655,9790,78242
23655,38793,3708
6939,9790,295753
56040,9808,215816
1299,58453,1959807
56048,9808,110783
9500,9901,52929
4768,9901,44337
174,9500,2840
3491,6648,2109
6648,6939,80896
1299,6939,1139087
6939,6939,344585
6453,6453,24060
17908,4755,42870
7473,7474,987816
4804,7474,42146
4780,9919,367352
18077,2914,824
18077,2516,1204
49544,7670,377
18077,7670,271
23771,4837,2110
23771,23771,2222
18302,9318,46761
49544,7713,15774
3,3356,15488
174,3,14350
10578,11164,2995
10578,3,636
1299,1764,125066
1764,1853,5698
1853,679,839
1853,6939,504411
1853,1853,22396
1853,49544,166
3356,559,5040
559,559,25739
3257,559,3894
49544,559,515
1653,2603,44088
2603,49544,2777
2914,7575,405558
7575,7575,93992
24014,7575,1412
3356,7575,110519
49544,7575,2924
174,2200,11976
2200,777,3204
21320,2200,7337
3356,680,601313
680,680,67589
1299,680,206503
49544,680,1235
3356,62,47496
18676,62,4578
3257,62,25318
62,6461,79176
27064,665,12537
12816,680,5296
22284,3356,84674
27064,367,1357104
1299,137,14883
137,137,49278
137,174,9631
137,49544,262
12552,49544,4411
12552,2116,47273
1299,28118,21271
28118,6461,80374
6762,7303,241714
174,37035,13281
30990,37035,18634
12455,37100,26437
3257,57,1063
57,57,18246
1998,57,4661
11164,57,1228
327708,37133,59250
37133,37133,34839
174,37662,104160
3356,8968,7067
1299,8968,12842
49544,8968,152
12306,33891,7648
