as1,as2,count
32220,6939,2246
40383,812,1452
174,19016,2265
19016,6461,2827
3356,55900,10373
1299,55900,43955
45543,45899,2148
2914,45543,2645
45543,9304,421
3491,45543,2502
45543,45903,3940
18403,45903,720
18403,45543,2082
45543,4635,684
17488,17488,61572
17676,45687,767
45687,45687,1898
2516,45687,1322
24541,7545,688
24541,24541,4694
24541,4826,3705
4637,7552,483416
45690,9824,348
3356,55644,373384
45650,9498,67043
45157,45650,9979
45157,4613,9877
4613,4613,9219
2518,55376,883
49544,55376,12
45896,55313,6454
55313,55313,14155
45903,55313,6150
17828,55792,18847
25862,55933,4823
3786,4668,15728
4668,4668,30594
55811,58511,5336
24437,55813,353
23629,2914,2786
23629,2518,1023
23629,23629,5115
24284,2497,2475
24284,2519,504
2497,58788,873
58788,9622,186
17661,2516,1680
17661,2497,7021
200043,6762,478
12779,200043,3002
200043,49544,36
197743,3326,367
34758,6762,875
34758,41327,4529
34758,49544,66
1299,52091,1320
200612,52091,13
3356,39120,2161
174,39120,2569
39120,49544,339
20485,210928,1349
210928,8744,1805
210928,31133,2009
12387,56653,199
1764,48362,131520
48362,56653,177
1299,42004,745
174,42004,251
42004,49544,18
49528,50607,1585
49528,49528,1667
49528,49544,8
8242,9002,1257
200612,8242,1
29688,35297,826
206943,9009,2744
206943,3223,3143
199995,49461,242
49461,49461,1071
174,49461,1704
49461,6939,4103
3326,50004,1409
50004,50004,1101
49544,50004,6
197506,9002,1269
197506,49544,36
1299,9002,432265
1299,35047,2291
35047,6939,21082
201706,29226,7314
1267,197954,1032
15557,3259,11212
3259,3259,5247
35100,8473,3382
35100,35706,627
1299,8251,7735
49544,8251,102
45012,8648,22393
1299,5400,53582
20714,35297,2418
20714,49544,12
198610,9002,3687
198610,200612,47
3356,56709,661
49544,56709,8
33490,400517,1775
400517,56554,1069
12912,48464,4759
199936,48464,412
48464,62081,2475
48464,49544,18
20485,6789,34635
43936,6789,1835
41871,48964,979
41871,41871,12207
35297,41871,1479
41871,49544,22
12714,43319,654
31117,56933,363
28725,57294,1078
20764,48481,1607
200612,48481,8
35598,44843,10644
44843,44843,22930
44843,48481,1480
47502,9002,6342
47502,48882,6343
200612,48882,29
48882,48882,17171
12389,44267,8454
44267,51428,766
31133,44267,6282
174,50467,2033
50467,50467,14476
49544,50467,20
50607,56983,385
56983,56983,1193
3257,50607,12745
49544,56983,2
29535,57789,783
57789,57789,2574
49544,57789,4
1299,44056,288
200612,44056,11
31133,44056,1138
41575,8359,885
41575,43727,2398
15924,8386,269123
41627,9002,1860
41627,49544,12
12337,60955,3415
31133,35298,2250
12389,198110,6488
34797,49129,3080
11019,48684,1758
3216,33991,3244
209372,33991,24075
12389,33991,14209
33991,8359,4583
3356,51906,1662
24961,51906,666
51906,51906,2724
44558,9121,86373
29582,41313,13182
29582,29582,66501
197897,29582,22866
29582,49544,424
3223,59432,10718
57910,59432,5566
174,57356,6469
57356,57356,12341
49544,57356,66
49463,8220,1585
174,49463,121
49463,49463,121
49463,49544,20
5730,7018,30812
17224,5730,30812
19527,55836,980
19527,3356,675
1273,19527,613
15169,5511,3072
19527,37662,1707
19527,396982,204
293,400066,1198
3491,38623,7964
2914,58807,40025
58807,9808,210418
174,58807,22534
57618,8495,706
20904,51691,2202
719,719,2585
51691,719,379
12880,206065,5932
1547,3356,1010
1547,49544,28
1299,57660,1882
213759,50558,8123
29208,48926,2552
12552,50572,5005
1257,50572,1508
49544,50572,40
1299,57710,4767
57710,57710,8306
174,57710,3861
12716,8717,16231
12716,12716,17311
13055,8359,2807
50071,8359,1404
174,61029,3598
49544,61029,46
1273,8966,3495
1273,44530,1073
57732,6667,1005
47605,57732,805
174,48500,663
48500,6939,5007
48500,49544,28
20485,48475,902
20485,41341,1456
29413,3356,813
29413,29413,707
1299,60169,1276
29413,60169,3692
49544,60169,33
199309,31263,971
199309,199309,1059
1299,8641,7739
58002,8641,3974
49544,58002,72
58002,58002,487
13009,31463,20790
42298,8781,265811
3356,41206,17668
41206,50261,8114
41206,49544,124
3216,8324,423
8324,8324,423
3255,62384,828
198668,47232,6187
47232,49544,313
41998,47297,2615
198717,201814,413
205185,39686,19258
205185,25459,11530
174,393442,13351
393442,6939,25721
269730,61461,28180
269730,271909,3009
52354,6057,4361
52354,7049,1548
34984,60051,50461
208293,58322,5582
395795,6939,804
174,63131,4152
49544,63131,22
11260,397545,1817
174,400180,4187
397446,5056,18395
397446,397446,15825
397446,400180,2155
400180,400180,1242
27843,27843,23245
216138,6939,802
11114,53256,2479
12956,264764,2546
23520,52286,22137
264764,52286,4656
265721,272083,8271
272083,272083,23787
13329,47028,4103
174,399337,3891
399337,49544,26
174,397103,969
397103,5009,66
26133,7018,196
269730,269730,20050
14430,174,6977
4230,61817,5892
13786,61817,470
12400,3257,8319
12400,8948,6219
1299,20303,3195
174,20303,428
20303,6461,433
46320,6461,6875
46320,49544,110
19021,3356,3528
174,19021,3181
174,400164,11493
19356,3356,424
19356,25651,986
174,395127,3508
395127,395127,1050
395127,49544,32
22898,22898,2625
26499,40220,2402
12183,174,3455
12183,6939,3128
12183,12183,8424
12183,7029,1666
174,36445,6056
36445,6939,9014
36445,36445,45070
36445,49544,76
1378,174,2937
174,26932,6208
399527,5650,1651
133296,9498,128496
133296,152565,2670
174,36223,21464
174,31919,1197
14430,6939,21434
14430,31919,1159
31919,31919,4636
174,394717,96
394717,6939,734
13444,21859,31134
13444,24373,27908
138527,24373,6474
138527,138571,2101
174,53818,690
12231,19108,2524
12231,12231,2930
3257,394684,37502
1299,394684,28061
32890,6939,8446
15069,174,1677
15069,22925,394
15069,15069,138
19978,266841,5299
19628,5056,14823
1299,13781,870970
13781,393444,13227
1299,19122,2903
174,19122,1681
19122,49544,24
1819,22773,2771
398052,5056,14611
3257,6208,1070
6208,6939,12215
137557,2914,626
137557,4618,3622
137557,6939,16121
174,54488,1211
46887,54488,881
4766,64050,15298
399195,64050,4865
136897,174,4822
136897,394432,360
394432,394432,2128
174,55066,613
174,19112,4373
266475,4230,14588
266475,53013,115
264009,53062,5332
53062,7195,121980
209,395927,61
395927,6939,1160
174,51847,34576
174,54502,1708
3356,36105,3427
53013,61642,1529
61642,61642,6413
37468,53427,246165
53427,61642,5034
23520,267797,24140
1299,20335,2198
174,20335,1294
20335,49544,14
270068,7195,10444
174,270068,11394
12956,270068,5398
270068,270068,66373
6461,7352,4613
265721,271942,8624
1378,8057,3838
1378,21947,920
17408,58453,5611
17408,9922,12387
4249,7018,12128
174,37410,4242
16637,37410,3170
30844,37146,3676
36917,37468,30538
17400,36917,28156
17400,37155,5319
36963,37678,11063
327992,37263,412
30844,327771,3692
327771,327771,12540
327771,37133,2953
36890,37619,4760
33786,37468,6047
37271,37276,11161
37276,37276,34029
37061,37165,415
37027,37113,8634
37090,37385,1833
37385,37385,28508
29465,37385,5818
29465,37613,1137
25543,6713,9587
29091,37613,7002
1299,44356,8541
37076,44356,9111
44356,49544,116
24863,{37069},692
14593,30844,8799
14593,16637,12602
33763,3741,3549
3356,39356,1591
39356,39356,1071
328306,39356,357
36864,5511,82
174,36864,575
36864,49544,108
29614,29614,64750
16637,9129,42329
15964,36955,17599
174,37002,4333
37002,49544,139
18931,37100,739
328316,37721,10632
328316,37073,5366
37088,37282,2516
29032,37027,1857
29614,36900,407
37282,37506,2468
36908,36909,13485
36909,36909,15993
36909,37035,5480
30844,327728,2527
31810,327728,751
31810,31810,529
37100,37349,7302
31810,37349,1742
37133,37349,9924
36865,37662,11396
37284,37566,4037
174,37558,26311
37054,37608,695
37054,37054,1031
37020,37662,14792
38091,9845,183068
9697,9845,37985
1299,136907,2190
138950,4134,37530
174,198785,987
58175,8708,1472
58175,58247,940
32681,6939,1624
174,395032,3241
395209,7795,145
395209,6939,5283
26794,63414,8457
203101,3356,1224
203101,203101,3754
203101,4637,505
203101,49544,22
395167,6939,1230
16612,6939,3230
174,19746,1597
19746,62943,8238
21859,53587,2401
11698,5056,1970
55329,6939,42418
55329,55329,239746
131178,38901,44758
33891,396356,18272
396356,49544,1329
2914,62468,15832
4635,62468,5177
10103,136501,14165
28683,5511,17517
28683,328092,1043
174,28683,15055
328039,5713,405
29614,328076,194
327992,328076,217
328422,5713,726
1299,28968,1327
47193,60931,1174
174,201746,10865
201746,29119,23556
201746,49544,328
49909,9009,1065
49909,49909,15128
174,49909,3015
49544,49909,30
12389,51346,50558
204106,51346,11559
204106,24722,10491
24722,24722,120483
174,42755,1909
42755,49544,39
3356,47217,1339
47217,49544,40
12912,39288,120
39288,39288,240
39288,62081,3960
39288,49544,20
24889,8220,32490
24889,51873,183211
51873,6939,19471
49544,51873,425
1299,202395,3899
202395,43853,2413
202395,49544,36
1299,34702,19318
12778,197441,1460
197296,47232,1802
51088,60131,1906
3257,9038,15562
12570,51968,350
43314,9049,2081
39699,52056,728
16012,8359,1053
197465,3356,541
197465,6461,668
12880,24631,31894
174,199226,316
199226,49544,4
20804,34120,2884
34120,43627,2131
34120,49544,28
3257,39477,2799
39477,39477,2807
208066,51484,1423
29386,6762,3636
1680,197350,6290
2854,31133,3625
57405,60542,367
50673,6762,92290
60542,61008,764
31133,51812,2745
3356,35491,1753
3257,35491,1309
29535,35491,5152
35491,35491,15938
35491,49544,52
3356,51175,888
51175,51175,4617
1299,51175,1726
49544,51175,34
3257,48659,459
48659,48659,87
29535,48659,866
48659,49544,14
197405,29535,401
197405,197405,2005
48789,49544,34
48789,48789,30160
197405,48789,824
204161,6789,3670
204161,204161,3580
1299,21367,552
21367,25478,161
21367,9002,868
17394,3356,4221
20764,51973,153
35598,51973,825
49544,51973,6
3255,34814,11192
39392,52092,764
49544,52092,6
12912,197503,249
197503,197503,2740
197503,50607,2770
197503,49544,16
197522,3356,2002
197522,3255,8478
197522,197522,7528
49183,49544,74
197522,49183,354
3356,62081,7726
52195,62081,1128
52195,52195,1689
49544,52195,8
20485,52175,1412
20485,9177,783
9177,9177,1896
31133,9177,258
196791,20485,538
196791,196791,1254
196791,31133,178
31133,43235,374
12389,43235,808
32217,49544,180
32217,3257,1020
16223,44318,1100
3216,52194,1384
12389,52194,1675
20485,52194,2076
197550,25512,349
35297,56347,1504
200612,56347,16
49544,56347,30
196739,31500,49
43171,62081,1554
43171,49544,12
30764,57188,181
57188,57188,362
16019,57188,1255
206926,31500,630
200612,206926,5
206926,35598,1298
206926,49544,10
3356,56396,197
174,56396,298
1299,56396,521
48326,60068,1525
48326,49544,48
1299,57395,9601
12611,20902,6039
13247,3356,627
13247,25276,750
1299,13247,952
13247,5405,3142
13097,34758,4830
25512,56450,883
20911,57344,26197
20911,49544,328
31287,49544,1040
31287,42431,163
15935,56360,725
29535,48789,5978
43414,49784,10464
136907,174,13213
136907,7438,759
141995,6939,11303
141995,141995,32569
141995,174,315
20773,34011,20285
1273,50973,36815
21183,50973,16717
21183,21183,51310
34841,41313,1715
34841,49544,10
12637,60087,2148
12389,38951,1915
38951,38951,3830
1299,43424,917
43424,4455,1729
16019,52115,1088
197558,21413,1394
197558,197558,764
197558,58243,3395
13030,24889,3201
24889,49544,14
174,51701,1845
49544,51701,14
201035,33891,7010
19115,20001,2688
11426,19115,3449
38744,58717,11912
38744,38744,15756
58453,58717,91103
150684,3491,76467
138195,150684,72167
45271,45271,137396
1273,55644,34891
24466,56030,5341
137694,4134,46132
10135,17408,2047
174,17408,15463
10135,3491,1836
24492,4651,15907
24492,24492,41384
174,24492,4100
24492,9304,807
18209,18209,24377
45430,4637,72659
14174,174,559
14174,6939,4097
174,19045,1563
14102,174,2479
14102,4540,621
20115,27338,18773
27338,7029,6656
29909,3257,5284
174,29909,3400
29909,49544,218
174,36295,4066
36295,6939,25043
46262,6939,15960
26548,6079,7428
26548,6939,78435
26548,49544,386
16724,3356,14388
16724,53861,211
29802,53861,3488
11767,3356,2101
11767,54045,2396
11767,174,1348
11767,1299,2803
23033,27323,36953
27323,32875,5571
3356,46792,1630
23404,46792,365
33668,62658,4854
3257,54040,1134
54040,7922,966
17035,3257,2420
17035,7922,1711
32329,6939,18690
32329,49544,96
46489,48237,9
200612,46489,6
306,326,12187
306,306,6615
200612,5583,8
51375,5583,743
174,19545,745
19545,19545,2107
19545,6461,1362
17466,55836,1615
139007,4837,85564
139462,4134,2125
24111,45177,353
24111,24111,353
4637,7568,29834
7693,7693,2730
38082,7693,14093
45489,9829,69247
6762,9829,7789
174,58715,9798
3257,5580,29684
3491,5580,7203
17691,4713,299
17691,17691,1855
17691,2497,1646
17691,7670,518
138322,38742,29103
138322,49544,60
174,63134,1950
49544,63134,74
18252,9931,419
18092,4713,5206
18092,2516,6568
4651,4765,82657
4765,4765,265307
18183,7539,1325
17408,18411,2415
17710,3462,4697
18415,9924,2779
18415,18415,8337
18049,18049,6186
18046,38851,2698
18341,4766,687
45374,9848,13743
45374,45374,34748
9848,9952,73347
10003,2914,3226
10003,10003,11790
10003,2497,816
10015,9351,986
10015,10015,994
10015,2519,500
2519,9997,754
9997,9997,2262
17689,4713,57
17689,2497,2048
10016,2497,256
10016,7679,97
10016,10016,97
7686,9824,696
10010,17682,732
17682,17682,1728
2516,2516,7096
17682,2516,3328
17680,4693,706
45356,45489,8420
45356,45356,5414
3491,9244,2147
38031,58717,16451
38031,38031,41329
38091,38121,38236
12975,47253,20019
197832,8220,2122
174,197832,975
174,61049,3394
41847,61049,7246
41847,51263,516
48858,9049,119435
15410,5400,348
39824,41798,41246
200612,47864,213
43994,47864,18474
39824,43994,5363
12301,28728,359
28678,8501,1478
1299,29182,8529
200612,29182,148
29182,35598,26029
29182,49544,286
209024,8359,12486
12874,20942,3326
39637,8455,1839
28995,39637,382
44306,6700,13355
34309,42312,2175
209810,3491,3947
209810,209810,3947
209810,31349,330
31349,49544,6
200612,41887,15
3215,34391,1174
34391,8218,3251
34391,34391,2232
13267,13335,1592
203779,207464,1820
3257,62874,13843
204287,62874,11021
62874,6939,39058
5563,9049,22714
3356,6984,7307
3356,46573,15773
3257,46573,8660
15250,46303,1764
13367,46303,585
26794,55105,1422
10796,26133,2665
21559,40414,2462
1299,3580,3203
174,3580,2112
3580,49544,84
10396,10396,29617
11404,22667,1493
11397,22667,347
11397,11397,2429
209,3908,2611
3356,3908,3642
12133,3257,263
12133,12133,720
14244,49544,146
1299,14244,15715
11351,40229,4106
209,30221,2596
14743,1828,8336
14743,14743,22848
12182,174,8257
12182,12182,218418
12182,14743,1618
14745,1828,20431
14745,14745,19899
1299,14745,11685
14742,1828,8818
13790,1828,2950
13790,13790,8850
1299,13790,1984
36612,7385,348
11221,3356,1777
11221,174,1653
174,19504,1686
19504,6939,7765
19504,8159,4551
1299,19783,986
174,19783,644
19783,49544,10
33667,53497,402
33651,53497,412
15042,3257,1286
15042,174,2391
14274,6939,822
1299,399049,8756
12129,32477,7520
17133,6461,2808
11260,21564,1759
21557,6939,13621
19616,600,343
174,19256,1778
19256,27403,414
19256,6939,5323
10747,3356,3600
10747,3257,556
10747,6461,2480
174,40523,454
40523,6939,1130
40523,40523,2439
2711,2914,92974
16863,2914,26842
16564,6461,10532
174,36443,2625
30517,36443,2839
26251,27552,572
26251,46887,481
31785,3356,356
31785,40264,416
16822,174,247
16822,19754,96
209,26891,1675
26891,6461,5179
16504,29938,693
11272,26949,746
20385,3356,1260
20385,3257,685
27665,28067,1055
13536,27516,300
174,27516,793
25963,3356,308
22645,25963,30
25963,25963,90
13359,25963,14
13692,6461,5887
13692,20055,4491
174,26052,315
26052,26052,1470
3356,6623,1724
1299,6623,2021
11138,26794,22857
36378,54004,1740
10320,18712,400
10320,62943,748
11071,174,2010
32281,3257,5746
32281,{398230},346
174,32281,9948
3223,8966,27
3223,7962,98
174,32453,190
32453,32453,1918
32453,6939,806
18704,3356,1743
20278,49544,20
6461,912,16363
6327,912,2645
40702,40755,1785
174,29831,11506
29831,29831,36168
29831,6939,15613
11620,33667,1964
11620,14051,3127
11620,7385,2273
25695,37662,1462
25695,60171,440
11134,3356,350
14755,3356,300
14755,6461,1464
1403,1403,11022
13649,18557,1337
18557,22773,1099
13468,7992,560
13468,577,2926
14007,18875,1648
16567,3356,6285
16567,6461,7633
26967,32035,5236
33657,53862,55
32133,53862,297
18795,3356,979
18795,5650,69
18795,18795,138
11351,25915,768
16597,22645,698
2914,396905,1063
396905,6939,15954
396905,49544,96
3599,3599,2050
174,19024,2322
12182,1828,34035
12178,1828,2144
12178,12178,8733
12178,174,871
19963,46887,2457
174,25892,5704
174,19689,810
19689,49544,6
17322,3356,338
17322,33489,13
11924,3356,4009
11924,3257,2588
11924,49544,88
23352,393713,1670
3356,53264,2923
174,53264,1838
10353,7018,2080
19009,6939,12532
11019,30361,5079
11367,12956,3537
11367,11367,17288
10396,11367,1502
15164,395896,372
10753,10753,13290
6939,7896,3165
17204,3257,558
17204,2914,493
13536,29979,605
174,29979,446
22070,32133,3608
16360,8220,999
16360,3257,828
25899,30263,2369
30263,394826,270
3701,394826,83
12129,15154,1348
15154,15154,955
16664,6461,1039
174,36820,301
6939,7219,1768
36820,7219,929
18948,46887,788
19518,20055,42
137409,19518,3960
19518,49544,20
19381,6461,1732
19381,32133,742
19991,6461,708
36813,6939,4273
12044,174,2235
12044,20055,1384
13768,23136,7959
1299,16795,1124
16713,22608,8347
20474,22608,1344
3257,60068,196898
396319,60068,707
12956,60068,88649
11232,33686,287
31758,6939,1688
31758,33686,1369
19551,55274,748
55274,55274,748
174,19551,57106
27254,3356,103
13807,27254,311
32020,33576,16298
174,394111,1091
394111,49544,16
18501,6461,18844
26753,6327,985
26753,26753,1970
20473,8551,3128
1680,20473,2305
21725,23404,2091
31877,46426,1598
174,22709,866
22110,3356,264
22110,22110,4793
22110,6461,1651
13807,22110,1897
11118,32703,352
14317,19009,328
16608,6461,633
16608,6939,7974
174,8100,23724
12956,8100,1980
1246,174,1149
1246,26801,601
3356,54607,3280
54607,54607,22960
174,46273,9640
19754,26449,690
22742,29867,1048
174,22820,2221
40304,577,349
395924,7018,1836
26674,7018,348
174,19523,3299
19523,49544,116
25817,26827,2072
395567,6939,30972
25817,395567,6587
25817,25817,4004
10835,14977,733
14041,14977,682
1299,200999,5763
399493,400146,12271
23404,399493,1250
15024,174,731
15024,6939,6900
15024,49544,12
25694,6461,2344
174,45267,2309
45267,45267,3294
45177,45267,8632
13536,399220,4319
174,399220,1223
22684,852,2459
30162,53597,1971
49544,53597,120
23367,3257,1058
23367,49544,36
3356,46691,236
174,46691,677
46691,6461,501
11584,3356,2972
11584,11584,20560
46996,54004,2249
46996,46996,19812
27294,5009,1732
174,32102,215
32102,46887,136
32102,32102,816
3356,393408,3131
33490,393408,2804
1968,396086,1051
174,27553,449
10796,11473,772
11758,63448,4704
132876,136255,30669
136255,174,10733
200612,60051,859
49544,60051,1786
22800,36610,524
10796,22800,205
22800,22800,615
12009,20055,1413
13760,40911,2056
19653,22379,3853
11623,7106,1238
12155,7029,254
12155,393444,572
174,23155,364
23155,62943,1144
14363,23155,20
393892,6939,3161
174,22138,178
11427,22138,206
22138,22138,412
398959,5769,690
33055,3356,4544
20238,600,622
26744,33067,2937
33067,46506,1190
33067,33067,5950
23520,30689,98827
33354,701,727
13986,30257,820
174,54579,1127
54579,6939,7635
33227,3356,3115
174,33227,3136
27292,4637,701
399331,6939,6392
399331,401288,2033
4181,6547,347
6547,6547,694
22572,328748,2209
21949,397778,348
10835,33635,8670
19170,3356,530
174,19170,527
13767,393924,1711
22301,7849,822
46887,4906,6217
213224,31034,1415
3356,40627,3751
1299,40627,2087
40627,49544,61
13337,53597,3361
30528,7311,1591
30528,49544,8
23947,63859,44456
63859,7717,416
131111,7717,586
131111,133798,500
133798,133798,544666
4800,4800,6851
174,53597,2405
3356,33662,7971
33662,36538,2444
33662,7922,69244
11061,5650,348
11061,11061,696
26725,5056,4348
26703,26725,1648
174,26725,2765
26725,26725,910
23027,6461,584
12191,6461,1056
10673,13649,348
30170,6461,7524
174,23175,5191
13831,23175,1031
23175,49544,34
2727,7029,4894
1299,54483,3925
54483,6939,36256
49544,54483,238
17211,174,124
17211,6939,700
11168,3356,2834
11168,46450,4105
30336,5769,9323
25801,701,681
25801,33287,12
2914,30666,1852
30666,6461,4659
263236,52444,1457
25853,54665,3027
54665,54665,5166
49544,54665,30
2828,54301,1038
32022,3356,1564
32022,6461,1239
40237,49544,20
29900,6461,323
29900,6939,530
29900,29900,392
174,23535,500
23535,6939,3583
174,395177,675
395177,6939,1785
395177,395177,2199
14361,3356,12932
14361,3257,4648
13791,174,1915
12231,7029,2394
12028,3356,81
5690,6461,12289
19074,394437,346
14090,26794,16882
14805,6461,3358
14805,14805,2361
14805,174,37
2914,40816,1413
40816,40816,1392
30121,3356,283
11404,8121,61
30121,8121,61
35,5691,697
174,33339,9273
8057,8057,147059
33339,8057,14406
18451,3257,694
18451,27618,809
18451,6939,6502
21743,3257,5221
21743,49544,6
174,26785,1375
26785,53597,1261
30452,3356,4203
20128,7819,4282
16880,3356,887
16880,36421,1404
16880,174,1561
16880,49544,12
11595,40264,770
27229,36463,1800
36463,36463,12600
16863,18671,12830
18671,18671,15558
1299,16863,15436
174,23158,5991
22247,23158,1221
23158,46849,8330
15175,174,2234
15175,6461,542
15175,15175,380
16582,174,1465
16582,6939,4100
16582,16582,14758
19162,3356,168
174,19162,180
11796,14703,3288
11427,397360,1158
3356,40156,1827
174,40156,1670
174,396905,336
11402,3356,8508
11402,2711,2191
174,22360,2050
22753,46887,3526
396040,6461,1209
20055,396040,407
396040,49544,10
13765,3356,982
13765,174,2808
3356,55293,4908
174,55293,12395
1299,55293,20402
22320,600,1701
22320,22320,1701
30404,36063,1067
62509,6461,6688
13917,2914,1054
23102,5050,1038
174,19261,153
19261,6939,1740
15054,6461,857
40438,812,318
46455,46694,4011
46694,46849,3315
46694,46694,16575
30264,3257,9511
21766,30264,448
3356,4213,6374
4213,4213,4599
3257,53726,340
11272,53726,360
10367,13536,1229
21525,2914,147
21525,6461,228
21525,49544,2
13329,33003,7272
22773,33003,1480
27235,3356,257
174,27235,319
27235,46849,1058
12042,12042,7539
19156,21782,11483
33430,701,784
33287,33430,18
135600,9506,7596
14046,33491,350
14511,26794,2024
18875,32613,67
18875,5769,279
174,397048,805
397048,64213,82
397048,397048,133
14909,3356,700
14188,36012,323
174,36221,116
36221,6939,1526
1299,7979,98827
174,7979,166893
36720,7795,349
12175,20394,5516
32524,3356,9704
174,32524,8688
46345,577,697
174,394611,1432
19578,3356,1023
32408,3356,2037
25606,46887,1050
29843,46455,702
174,36097,1697
25712,3356,4080
22909,25712,411
36825,6461,656
3356,7311,499
1828,32278,4790
22773,393885,1717
13329,393885,6558
393885,393885,7014
14634,15164,1093
14634,32505,2366
14634,14634,2406
19893,3356,7001
19893,27615,2816
19893,6461,11586
174,20009,1522
19009,20009,545
15085,3356,37056
15085,49544,246
174,36687,562
36687,6939,3967
398719,6939,11225
174,393775,6176
393775,7029,5139
30481,6461,1396
35908,6939,19805
2914,29948,709
174,394883,276
19754,394883,752
394883,394883,336
3356,63062,10657
63062,6461,2192
6621,7018,14389
6621,6621,3987
174,6621,77143
63062,7018,774
27650,3549,4899
10594,3356,3566
10594,62511,1058
10594,49544,50
19108,63400,440
15164,63400,730
174,46175,6866
17222,2914,15054
19554,3356,3381
174,53292,16922
19554,53292,378
19554,19554,1890
19554,6461,412
11676,174,11852
22353,3356,860
22353,46849,1534
21889,3356,26685
12129,17143,4007
32415,3356,9484
26742,32415,688
26742,26742,691
174,32415,4290
16618,3356,1411
16618,16618,1461
19526,3257,234
13329,19526,1396
17216,3356,1280
17216,174,1326
17216,6939,8768
12956,40336,507
14754,40336,191
27202,7029,3180
27202,49544,32
23158,40317,931
14559,6461,374
11758,14559,454
2914,46746,5019
26554,46746,7030
46746,46746,57575
174,22458,9194
22458,6461,16354
1299,19318,13605
209,26326,289
26326,6461,3954
174,23657,13684
174,40317,6860
40317,6939,34987
40317,40317,16459
31864,3356,171
174,31864,177
30176,3356,1818
30176,49544,26
15321,577,22904
15321,15321,4958
13555,6461,1489
12130,3356,340
12130,6461,832
29863,40728,1059
174,32634,512
32634,7016,32
16948,6536,351
22561,4283,1045
17139,3356,12979
17139,6461,2813
174,32654,6205
22549,22549,8325
17266,7311,8598
2726,6461,516
174,55039,752
2726,55039,75
174,29990,6813
174,46253,11823
46253,46253,22674
22781,46253,10023
12129,8134,388
8134,8134,1239
46208,8134,1247
174,22438,715
22438,6939,4202
3356,33561,1302
174,33561,3089
33561,6461,5168
13335,209242,148874
17223,3356,30121
17223,6461,12382
30336,577,7256
11601,30336,697
23404,46986,4814
14992,174,513
14992,14992,2575
12129,22878,1630
14038,3356,3597
14038,15164,3131
13853,7018,2080
21723,21723,6852
21723,852,9681
14061,2914,56604
14061,6453,37424
23081,3257,25
23081,23081,1417
11272,23081,324
1299,22442,19041
22442,46094,345
46094,46094,690
22442,49544,132
16934,46455,701
11796,397122,4146
11114,26091,1751
3356,62887,12397
174,62887,3174
62887,62887,8757
3356,54304,765
54304,6461,1005
174,21981,1590
21981,6939,3461
26241,6181,708
26241,6939,5052
3257,36352,38332
36352,36352,20771
15146,3257,6840
15055,17054,386
18516,3356,231
174,18516,78
18516,18516,209
18516,6461,580
15305,30663,1123
131926,17676,1302
6620,701,16485
6620,6620,66492
10271,22773,2048
17054,17054,142
20115,4986,658
4986,7018,461
26410,7015,1412
26410,26410,228
13904,6461,11216
19600,3356,482
174,22364,8026
12956,22364,11091
10796,40389,767
20055,31857,3154
3356,4229,2235
1299,4229,33613
30295,577,1569
30295,852,741
174,393950,3816
393950,6939,8896
393950,393950,16698
393950,49544,50
26878,3257,3140
18616,26878,2037
174,21879,1034
174,21527,2248
21527,46208,8960
21527,26554,201
11287,29953,11050
11739,174,2053
11739,19528,1587
11404,3361,1653
19528,3361,468
19528,19528,2128
14116,174,2185
14116,49544,24
19473,6461,1061
174,21709,110
21709,6939,688
21709,49544,4
19939,33470,410
33038,46455,1064
14543,18780,1704
18780,26794,8824
401498,5650,403
11440,401498,56
11351,11440,715
32058,7018,1397
10302,1299,847
10302,49544,18
30072,46849,3268
29883,812,2950
15350,18883,758
14543,55105,201
32899,3356,1117
174,32899,1568
32899,6939,10442
32899,49544,58
30060,3356,5332
30060,6461,8637
15335,22773,121
15335,32505,705
11260,47027,8458
23131,3356,2448
1299,20141,14535
20141,4452,9660
22018,6461,1310
14325,22018,101
13409,6939,704
13409,174,126
14383,174,6780
174,26859,299
14834,40387,1212
11115,33668,1838
11115,15144,350
11115,7018,3061
11430,174,569
11430,6461,847
174,46446,3739
46446,6939,8685
30689,"{10278,10292}",2771
174,20257,4543
20257,2711,1738
20257,20257,4
174,36715,2298
11191,174,14370
11191,49544,140
22645,6362,698
18647,3356,427
18647,6939,1123
18647,49544,6
174,27569,690
1299,19844,1291
26883,7725,350
26873,3356,725
26873,26873,7373
174,26873,832
26873,6939,5391
26873,49544,6
14861,174,2099
14861,6461,1046
36037,6461,1760
23228,3356,340
32244,36444,12081
32016,7385,2816
30247,3356,2370
174,30247,1605
30247,6461,5147
16987,3356,270
16987,22773,80
400146,400674,807
19653,54373,180
12129,54373,472
63330,64227,1233
3356,33606,1539
174,33606,3098
33606,49544,42
14090,63414,1914
1299,26120,582
174,26120,262
14671,174,7669
195,22773,2347
195,46985,1737
46985,46985,1739
53399,54004,349
12180,55134,4000
1299,32264,298
32264,6939,1879
21559,395471,17312
395471,395471,29163
18895,395471,15218
23520,395471,2222
30059,3356,1483
30059,6181,5095
13742,16851,150
13742,32867,674
22773,36801,5490
46525,812,1181
33541,46525,3321
3257,39964,519
39964,6939,2733
47066,6939,8198
16787,20115,1966
2711,40845,3171
2914,398465,17757
398465,53958,700
174,398465,19837
398465,398465,84111
22773,33322,2418
32162,3737,438
32162,32162,958
